Kanji#Reading#JLPT#Type#Meaning
['あの人']#[['あのひと']]#5#['&pn;']#['he', 'she', 'that person']
['グリーン車']#[['グリーンしゃ']]#5#['&n;']#[\"green car (Japan Railway's 1st class)\"]
['グループ見出し']#[['グループみだし']]#5#['&n;']#['group heading']
['コードレス電話']#[['コードレスでんわ']]#5#['&n;']#['cordless phone']
['コール天']#[['コールてん'], ['コールテン']]#5#['&n;']#['corduroy', 'corded velveteen']
['ゴムの木']#[['ゴムのき'], ['ごむのき'], ['ゴムノキ']]#5#['&exp;', '&n;']#['rubber tree']
['さ行']#[['さぎょう'], ['サぎょう']]#5#['&n;']#['the \"sa\" column of the Japanese syllabary table (sa, shi, su, se, so)']
['ザ行']#[['ザぎょう']]#5#['&n;']#['classification for Japanese verb with the dictionary form ending in \"zu\"', '\"za\" column or row of the kana syllabary']
['シゾイド人間']#[['シゾイドにんげん']]#5#['&n;']#['schizoid person']
['シュタイナー学校']#[['シュタイナーがっこう']]#5#['&n;']#['Steiner school']
['スウェーデン語']#[['スウェーデンご']]#5#['&n;']#['Swedish (language)']
['獅子女']#[['すふぃんくす'], ['スフィンクス']]#5#['&n;']#['sphinx']
['スペイン語']#[['スペインご']]#5#['&n;']#['Spanish (language)']
['スポーツ新聞']#[['スポーツしんぶん']]#5#['&n;']#['sports newspaper']
['スワヒリ語']#[['スワヒリご']]#5#['&n;']#['Swahili (language)', 'Kiswahili']
['タイ国']#[['タイこく']]#5#['&n;']#['Thailand']
['た行']#[['たぎょう'], ['タぎょう']]#5#['&n;']#['the \"ta\" column of the Japanese syllabary table (ta, chi, tsu, te, to)']
['ダ行']#[['ダぎょう']]#5#['&n;']#['classification for Japanese verb with the dictionary form ending in \"dzu\"', '\"da\" column or row of the kana syllabary']
['チャン語']#[['チャンご']]#5#['&n;']#['Chinese (language)']
['テレビ電話']#[['テレビでんわ']]#5#['&n;']#['video telephone', 'video call', 'video chat', 'skyping']
['データビット長']#[['データビットちょう']]#5#['&n;']#['data bit length']
['土耳古']#[['トルコ']]#5#['&n;']#['Turkey']
['ドイツ語']#[['ドイツご']]#5#['&n;']#['German (language)']
['ドイツ人']#[['ドイツじん']]#5#['&n;']#['German person']
['は行']#[['はぎょう'], ['ハぎょう']]#5#['&n;']#['the \"ha\" column of the Japanese syllabary table (ha, hi, fu, he, ho)']
['バ行']#[['バぎょう']]#5#['&n;']#['classification for Japanese verb with the dictionary form ending in \"bu\"', '\"ba\" column or row of the kana syllabary']
['パ行']#[['パぎょう']]#5#['&n;']#['classification for Japanese verb with the dictionary form ending in \"pu\"', '\"pa\" column or row of the kana syllabary']
['ビット毎']#[['ビットごと']]#5#['&n;']#['bit-wise']
['フランス語']#[['フランスご']]#5#['&n;']#['French (language)']
['プログラム言語']#[['プログラムげんご']]#5#['&n;']#['programming language', 'programing language']
['ベクトル空間']#[['ベクトルくうかん']]#5#['&n;']#['vector space']
['ベトナム人']#[['ベトナムじん']]#5#['&n;']#['Vietnamese (person)']
['ペルシャ語']#[['ペルシャご'], ['ペルシアご']]#5#['&n;']#['Persian (language)', 'Farsi']
['ペルシア人']#[['ペルシアじん']]#5#['&n;']#['Persian person']
['ペン先']#[['ペンさき']]#5#['&n;']#['pen nibs']
['ポーランド語']#[['ポーランドご']]#5#['&n;']#['Polish (language)']
['ポルトガル語']#[['ポルトガルご']]#5#['&n;']#['Portuguese (language)']
['ま行']#[['まぎょう'], ['マぎょう']]#5#['&n;']#['the \"ma\" column of the Japanese syllabary table (ma, mi, mu, me, mo)']
['や行']#[['やぎょう'], ['ヤぎょう']]#5#['&n;']#['the \"ya\" column of the Japanese syllabary table (ya, yu, yo)']
['ユダヤ人']#[['ユダヤじん']]#5#['&n;']#['Jew', 'Jewish person']
['ライン川']#[['ラインがわ']]#5#['&n;']#['Rhine (river)']
['ラテン語']#[['ラテンご'], ['らてんご']]#5#['&n;']#['Latin (language)']
['ら行']#[['らぎょう'], ['ラぎょう']]#5#['&n;']#['the \"ra\" column of the Japanese syllabary table (ra, ri, ru, re, ro)']
['ロシア語']#[['ロシアご']]#5#['&n;']#['Russian (language)']
['π中間子']#[['パイちゅうかんし']]#5#['&n;']#['pi meson', 'pion']
['いたずらっ子']#[['いたずらっこ']]#5#['&n;']#['mischievous child', 'scamp', 'rascal']
['ある日']#[['あるひ']]#5#['&exp;', '&n;']#['one day', '(on) a certain day']
['安らか']#[['やすらか']]#5#['&adj-na;', '&n;']#['peaceful', 'tranquil', 'calm', 'restful']
['安気']#[['あんき']]#5#['&adj-na;', '&n;']#['ease', 'comfort', 'feeling at home']
['按手']#[['あんしゅ'], ['あんじゅ']]#5#['&n;']#['ordination', 'laying on of hands']
['夷国']#[['いこく']]#5#['&n;']#['land of the barbarians']
['夷人']#[['いじん']]#5#['&n;']#['barbarian', 'savage']
['椅子']#[['いす'], ['イス']]#5#['&n;']#['chair', 'stool']
['なり手']#[['なりて']]#5#['&n;']#['person willing to take on a role', 'willing candidate']
['人となり']#[['ひととなり']]#5#['&n;']#['hereditary disposition', 'temperament', 'nature']
['畏友']#[['いゆう']]#5#['&n;']#[\"one's esteemed friend\"]
['一つ']#[['ひとつ']]#5#['&num;']#['one']
['一つ書き']#[['ひとつがき']]#5#['&n;']#['an item', 'itemization', 'itemisation']
['一つ話']#[['ひとつばなし']]#5#['&n;']#['anecdote', 'common talk']
['一の膳']#[['いちのぜん']]#5#['&n;']#['1st course at a banquet']
['一葦']#[['いちい']]#5#['&n;']#['one reed']
['一飲み']#[['ひとのみ']]#5#['&n;']#['swallowing in one gulp', 'downing', 'mouthful', 'bite']
['一雨']#[['ひとあめ']]#5#['&n;']#['shower', 'rainfall']
['一円']#[['いちえん']]#5#['&n;']#['one yen']
['一花']#[['ひとはな']]#5#['&n;']#['one flower', 'single flower']
['一間']#[['いっけん']]#5#['&n;']#['one ken', 'six feet']
['一間']#[['ひとま']]#5#['&n;']#['one room']
['一気']#[['いっき']]#5#['&n;']#['one breath']
['一桁']#[['ひとけた']]#5#['&n;']#['one digit', 'one column', 'the \"ones\" column']
['１月']#[['いちがつ']]#5#['&n;']#['January']
['一月']#[['ひとつき'], ['いちげつ']]#5#['&n;']#['one month']
['一言一行']#[['いちげんいっこう']]#5#['&n;']#['every word and act', 'just a word or an act']
['一語']#[['いちご']]#5#['&n;']#['one word']
['一語一語']#[['いちごいちご']]#5#['&n;']#['word for word', 'one word']
['一口']#[['ひとくち']]#5#['&n;']#['mouthful', 'morsel', 'bite']
['一口話']#[['ひとくちばなし']]#5#['&n;']#['joke', 'anecdote']
['一国']#[['いっこく']]#5#['&n;']#['one country']
['ひと時']#[['ひととき'], ['いっとき']]#5#['&n;']#['a (short) time', 'a while', 'moment']
['一時間']#[['いちじかん']]#5#['&n;']#['one hour']
['一時金']#[['いちじきん']]#5#['&n;']#['single amount (of money)', 'one-off payment', 'lump sum']
['一時しのぎ']#[['いちじしのぎ']]#5#['&n;']#['makeshift', 'temporary expedient', 'stopgap measure']
['一手']#[['いって']]#5#['&n;']#['one move (in go, shogi, etc.)']
['一手']#[['ひとて']]#5#['&n;']#[\"one's own effort\", 'doing single-handedly']
['一週間']#[['いっしゅうかん']]#5#['&n;']#['one week']
['一書']#[['いっしょ']]#5#['&n;']#['one letter', 'one book']
['一人前']#[['いちにんまえ'], ['ひとりまえ']]#5#['&n;']#['one portion', 'one serving', 'one person']
['一水']#[['いっすい']]#5#['&n;']#['current (of water)', 'drop']
['一膳']#[['いちぜん']]#5#['&n;']#['bowl (of rice)']
['一叢']#[['ひとむら']]#5#['&n;']#['copse', 'crowd', 'herd']
['一足']#[['いっそく']]#5#['&n;']#['a pair (of shoes or socks)']
['一足']#[['ひとあし']]#5#['&n;']#['a step']
['一足先']#[['ひとあしさき']]#5#['&n;']#['(a) step ahead', '(a) jump ahead']
['一揃い']#[['ひとそろい']]#5#['&n;']#['a set', 'a suit']
['一揃え']#[['ひとそろえ']]#5#['&n;']#['set', 'suit']
['一大']#[['いちだい']]#5#['&n-pref;']#['one large ...', 'a great ...']
['一男']#[['いちなん']]#5#['&n;']#['boy', 'eldest son']
['一帖']#[['いちじょう']]#5#['&n;']#['quire (of paper)']
['一掴み']#[['ひとつかみ']]#5#['&n;']#['handful']
['一天']#[['いってん']]#5#['&n;']#['the whole sky', 'firmament']
['一道']#[['いちどう']]#5#['&n;']#['one road', 'ray (of hope)']
['一日の長']#[['いちじつのちょう'], ['いちにちのちょう']]#5#['&exp;', '&n;']#['slight superiority (in knowledge, experience, ability, etc.)']
['一年間']#[['いちねんかん']]#5#['&n;']#['(period of) one year']
['一年生']#[['いちねんせい']]#5#['&n;']#['annual (plant)']
['一半']#[['いっぱん']]#5#['&n;']#['half', 'part']
['一斑']#[['いっぱん']]#5#['&n;']#['spot (glimpse, outline)', 'sighting']
['一分']#[['いちぶ']]#5#['&n;']#['one tenth', 'one hundredth', 'one percent', 'one tenth of a sun', 'one quarter ryō (an old coin)']
['一分']#[['いちぶん']]#5#['&n;']#['duty', 'honor', 'honour']
['一分']#[['いっぷん']]#5#['&n;']#['(a) minute']
['一本']#[['いっぽん']]#5#['&n;']#['one long cylindrical thing', 'one film, TV show, etc.', 'one goal, home run, etc.', 'one telephone call']
['一本気']#[['いっぽんぎ']]#5#['&adj-na;', '&n;']#['single-minded (esp. personality or person)', 'one-track mind']
['一本立て']#[['いっぽんだて']]#5#['&n;']#['single standard', 'single base']
['一本道']#[['いっぽんみち']]#5#['&n;']#['direct unforked road', 'straight path']
['一名']#[['いちめい']]#5#['&n;']#['one person']
['一木']#[['いちぼく']]#5#['&n;']#['one tree']
['一目']#[['ひとめ']]#5#['&n;']#['glance', 'look', 'glimpse']
['一揆']#[['いっき']]#5#['&n;']#['uprising (esp. in Japan since middle ages, e.g. peasant uprising)', 'revolt', 'insurrection', 'putsch', 'riot']
['一朶']#[['いちだ']]#5#['&n;']#['(a) branch (of flowers)', '(a) cluster', '(a) mass (of clouds)']
['一毫']#[['いちごう']]#5#['&n;']#['(a) bit', '(a) trifle']
['一籌']#[['いっちゅう']]#5#['&n;']#['(a) point', '(a) degree']
['一臂']#[['いっぴ']]#5#['&n;']#['a (helping) hand', 'a little help', 'some assistance']
['一くさり']#[['ひとくさり']]#5#['&n;']#['passage in a discourse', 'one section', 'one scene']
['インド人']#[['インドじん']]#5#['&n;']#['Indian']
['飲みで']#[['のみで']]#5#['&n;']#['more than enough (to drink)']
['飲み口']#[['のみくち'], ['のみぐち']]#5#['&n;']#['taste (of a liquid, esp. alcoholic beverages)']
['飲み手']#[['のみて']]#5#['&n;']#['heavy drinker']
['飲んだくれ']#[['のんだくれ']]#5#['&n;']#['drunkard', 'heavy drinker', 'boozer']
['飲食店']#[['いんしょくてん']]#5#['&n;']#['restaurant']
['淫行']#[['いんこう']]#5#['&n;']#['obscenity', 'harlotry']
['右手']#[['みぎて']]#5#['&n;']#['right hand']
['右足']#[['みぎあし'], ['うそく']]#5#['&n;']#['right foot']
['右目']#[['みぎめ']]#5#['&n;']#['right eye']
['烏の行水']#[['からすのぎょうずい']]#5#['&exp;', '&n;']#['quick bath']
['烏金']#[['からすがね']]#5#['&n;']#['money lent at daily interest']
['雨']#[['あめ']]#5#['&n;']#['rain']
['雨蛙']#[['あまがえる'], ['アマガエル']]#5#['&n;']#['tree frog (esp. the Japanese tree frog, Hyla japonica)']
['雨笠']#[['あまがさ']]#5#['&n;']#['rain hat']
['雨空']#[['あまぞら']]#5#['&n;']#['rainy sky', 'sky as it looks when it is about to rain', 'threatening sky']
['雨中']#[['うちゅう']]#5#['&adj-no;', '&n;']#['in the rain']
['雨天']#[['うてん']]#5#['&n;']#['rainy weather']
['嘘八百']#[['うそはっぴゃく'], ['ウソはっぴゃく']]#5#['&n;']#['pack of lies', 'complete fabrication']
['瓜二つ']#[['うりふたつ']]#5#['&exp;', '&n;']#['(as alike as) two peas in a pod']
['餌食']#[['えじき']]#5#['&n;']#['prey', 'victim']
['曳子']#[['ひきこ']]#5#['&n;']#['jinrikisha puller']
['駅']#[['えき']]#5#['&n;']#['railway station', 'train station']
['駅前']#[['えきまえ']]#5#['&n;']#['in front of a station']
['駅長']#[['えきちょう']]#5#['&n;']#['station master']
['駅名']#[['えきめい']]#5#['&n;']#['station name']
['厭人']#[['えんじん']]#5#['&n;']#['misanthropy']
['円']#[['えん']]#5#['&n;']#['yen (Japanese monetary unit)']
['円か']#[['まどか']]#5#['&adj-na;', '&n;']#['round']
['円グラフ']#[['えんグラフ']]#5#['&n;']#['pie graph', 'pie chart']
['円安']#[['えんやす']]#5#['&n;']#['cheap yen']
['円蓋']#[['えんがい']]#5#['&n;']#['cupola', 'dome', 'vault']
['円錐']#[['えんすい']]#5#['&n;', '&n-pref;']#['cone']
['円錐']#[['まるぎり']]#5#['&n;']#['round gimlet']
['円本']#[['えんぽん']]#5#['&n;']#['one-yen book']
['円罐']#[['まるがま']]#5#['&n;']#['cylindrical boiler']
['円鉋']#[['まるがんな']]#5#['&n;']#[\"round carpenter's plane\"]
['円顱']#[['えんろ']]#5#['&n;']#['tonsure', 'shaven head']
['岡目']#[['おかめ']]#5#['&n;']#['looking on from the side', 'looking on by an outsider']
['下']#[['した']]#5#['&n;']#['below', 'down', 'under', 'younger (e.g. daughter)']
['下げ足']#[['さげあし']]#5#['&n;']#['downturn (in the market)']
['下し']#[['くだし']]#5#['&n;']#['evacuation', 'purgation']
['下り']#[['くだり']]#5#['&n;']#['down-train', 'train heading toward the ending point of its route']
['下り上り']#[['おりのぼり']]#5#['&n;']#['going up and down']
['下り目']#[['さがりめ']]#5#['&n;']#['eyes slanting downward', 'decline']
['下ろし']#[['おろし']]#5#['&n-suf;', '&n;']#['dropping', 'unloading', 'removing']
['下火']#[['したび']]#5#['&n;']#['burning low', 'waning', 'declining']
['下顎']#[['したあご'], ['かがく']]#5#['&n;']#['lower jaw', 'mandible']
['下金']#[['したがね']]#5#['&n;']#['basic metal (in an art object)', 'old metal']
['下稽古']#[['したげいこ']]#5#['&n;']#['rehearsal', 'preparation']
['下行']#[['かこう']]#5#['&adj-na;', '&n;']#['descending']
['下国']#[['げこく']]#5#['&n;']#['province of the lowest rank (ritsuryo system)']
['下手']#[['したて'], ['したで']]#5#['&n;']#['humble position', 'inferior']
['下手']#[['しもて']]#5#['&n;']#['lower part', 'foot', 'lower direction']
['下手']#[['へた'], ['ヘタ']]#5#['&adj-na;', '&n;']#['unskillful', 'poor', 'awkward']
['下手人']#[['げしゅにん']]#5#['&n;']#['offender', 'criminal']
['下手くそ']#[['へたくそ'], ['ヘタクソ']]#5#['&adj-na;', '&n;']#['unskilled', 'clumsy', 'lousy', 'poor', 'awkward', 'shitty']
['下書']#[['げしょ']]#5#['&n;']#['draft', 'rough copy']
['下女']#[['げじょ']]#5#['&n;']#['maidservant']
['下女下男']#[['げじょげなん']]#5#['&n;']#['servants']
['下女中']#[['しもじょちゅう']]#5#['&n;']#['kitchen maid']
['下人']#[['げにん']]#5#['&n;']#['low-rank person', 'menial']
['下水']#[['げすい']]#5#['&n;']#['drainage', 'ditch', 'gutter', 'sewerage']
['下水道']#[['げすいどう']]#5#['&n;']#['sewer', 'sewer system', 'sewerage', 'drain']
['下生え']#[['したばえ']]#5#['&n;']#['underbrush', 'undergrowth']
['下足']#[['げそく']]#5#['&n;']#['footwear (esp. outdoor shoes, as opposed to slippers, etc.)', 'footgear']
['下男']#[['げなん']]#5#['&n;']#['manservant']
['下道']#[['したみち']]#5#['&n;']#['non-highway road', 'toll-free road', 'local road']
['下馴し']#[['したならし']]#5#['&n;']#['training']
['下半']#[['かはん']]#5#['&n;']#['lower half']
['下紐']#[['したひも']]#5#['&n;']#['undersash', 'belt']
['下聞き']#[['したぎき']]#5#['&n;']#['enquiring beforehand', 'inquiring beforehand']
['下名']#[['かめい']]#5#['&n;']#['undermentioned', 'undersigned']
['下目']#[['しため']]#5#['&n;']#['downward glance', 'contemptuous look']
['下婢']#[['かひ']]#5#['&n;']#['servant girl']
['下まぶた']#[['したまぶた']]#5#['&n;']#['lower eyelid']
['下萠']#[['したもえ']]#5#['&n;']#['sprouts', 'shoots']
['何れにしても']#[['いずれにしても']]#5#['&conj;']#['anyhow', 'at all events', 'in any case', 'either way', 'anyway']
['何れにせよ']#[['いずれにせよ']]#5#['&conj;']#['at any rate', 'in any event', 'either way', 'anyway']
['何れ何れ']#[['どれどれ']]#5#['&pn;']#['which']
['何ヶ月']#[['なんかげつ']]#5#['&n;']#['how many months?', 'how long?']
['何月']#[['なんがつ']]#5#['&n;']#['what month']
['何時']#[['いつ']]#5#['&pn;']#['when', 'at what time', 'how soon']
['何時']#[['なんじ']]#5#['&n;']#['what time', {'_': 'which hour', '$': {'g_type': 'lit'}}]
['何時何時']#[['いついつ']]#5#['&pn;']#['when']
['何人']#[['なんにん']]#5#['&n;']#['how many people', 'a number of people']
['何千']#[['なんぜん']]#5#['&n;']#['many thousands']
['何年']#[['なんねん']]#5#['&n;']#['how many years', 'how long']
['何百']#[['なんびゃく']]#5#['&n;']#['hundreds']
['何分']#[['なんぷん']]#5#['&n;']#['what minute', 'how many minutes']
['火']#[['ひ']]#5#['&n;', '&n-suf;']#['fire', 'flame', 'blaze']
['火の気']#[['ひのけ'], ['ほのけ']]#5#['&n;']#['source of fire', 'sign of fire']
['火の見']#[['ひのみ']]#5#['&n;']#['fire tower']
['火の見櫓']#[['ひのみやぐら']]#5#['&n;']#['fire lookout', 'watchtower']
['火の車']#[['ひのくるま']]#5#['&exp;', '&n;']#['fiery chariot (which carries the souls of sinners into hell)']
['火の手']#[['ひのて']]#5#['&exp;', '&n;']#['flame', 'blaze', 'fire']
['火花']#[['ひばな']]#5#['&n;']#['spark']
['火蓋']#[['ひぶた']]#5#['&n;']#['apron of a gun', 'cover for the touch-hole on a cannon or matchlock']
['火気']#[['かき'], ['かっき'], ['ほけ']]#5#['&n;']#['fire', 'trace of fire', 'heat of fire']
['火口']#[['かこう']]#5#['&n;']#['crater', 'caldera']
['火手']#[['かしゅ']]#5#['&n;']#['stoker']
['火先']#[['ひさき'], ['ほさき']]#5#['&n;']#['flames', 'forefront of fire', 'flame tips']
['火中']#[['かちゅう'], ['ほなか']]#5#['&n;']#['in the fire', 'in the flames']
['火入れ']#[['ひいれ']]#5#['&n;']#['fire pan']
['火箸']#[['ひばし']]#5#['&n;']#['long metal chopsticks (for handling charcoal, esp. in a brazier)', 'fire tongs']
['火木土']#[['かもくど']]#5#['&n;']#['Tue-Thurs-Sat']
['花']#[['はな']]#5#['&n;']#['flower', 'blossom', 'bloom', 'petal']
['花の木']#[['はなのき']]#5#['&n;']#['flowering tree']
['花びら']#[['はなびら'], ['かべん']]#5#['&n;']#['(flower) petal']
['花火']#[['はなび']]#5#['&n;']#['fireworks']
['花時']#[['はなどき']]#5#['&n;']#['flowering season']
['花電車']#[['はなでんしゃ']]#5#['&n;']#['floral streetcar']
['花道']#[['はなみち']]#5#['&n;']#['elevated walkway through the audience to the stage (kabuki)']
['花木']#[['かぼく']]#5#['&n;']#['flowers and trees']
['いじめっ子']#[['いじめっこ']]#5#['&n;']#['bully']
['会']#[['え']]#5#['&n;']#['gathering (esp. Buddhist, festive, etc.)']
['会']#[['かい']]#5#['&n;', '&n-suf;']#['meeting', 'assembly', 'party', 'gathering', 'conference', 'athletic meet']
['会厭']#[['ええん']]#5#['&n;']#['epiglottis']
['会社']#[['かいしゃ']]#5#['&n;']#['company', 'corporation']
['会長']#[['かいちょう']]#5#['&n;']#['president (of a society)', 'chairman']
['けが人']#[['けがにん'], ['ケガにん']]#5#['&n;']#['wounded person', 'injured person']
['外']#[['そと'], ['と']]#5#['&n;']#['outside', 'exterior']
['外れ']#[['はずれ'], ['ハズレ']]#5#['&n;']#['end', 'verge', 'extremity', 'tip', 'outskirts']
['外気']#[['がいき']]#5#['&n;']#['open air']
['外見']#[['がいけん'], ['そとみ']]#5#['&n;']#['outward appearance']
['外語']#[['がいご']]#5#['&n;']#['foreign language']
['外国語']#[['がいこくご']]#5#['&n;']#['foreign language']
['外国人']#[['がいこくじん']]#5#['&n;']#['foreigner', 'foreign citizen', 'foreign national', 'alien', 'non-Japanese']
['外耳']#[['がいじ']]#5#['&n;']#['external ear', 'concha']
['外車']#[['がいしゃ']]#5#['&n;']#['foreign-made car', 'imported car']
['外人']#[['がいじん'], ['ほかびと'], ['ガイジン']]#5#['&n;']#['foreigner (esp. one of European ancestry)', 'gaijin']
['外戚']#[['がいせき']]#5#['&n;']#['maternal relative']
['外電']#[['がいでん']]#5#['&n;']#['foreign telegram']
['外道']#[['げどう']]#5#['&n;']#['tirthika', 'non-Buddhist teachings', 'non-Buddhist']
['外聞']#[['がいぶん']]#5#['&n;']#['reputation', 'respectability', 'honour', 'honor']
['外来']#[['がいらい']]#5#['&adj-no;', '&n;']#['foreign', 'imported']
['外来語']#[['がいらいご']]#5#['&n;']#['loanword', 'foreign-origin word']
['碍子']#[['がいし']]#5#['&n;']#['insulator']
['学会']#[['がっかい']]#5#['&n;']#['learned society', 'scientific society', 'academy', 'academic meeting', 'academic conference']
['学校']#[['がっこう']]#5#['&n;']#['school']
['学生']#[['がくせい']]#5#['&n;']#['student (esp. a university student)']
['学長']#[['がくちょう']]#5#['&n;']#['(university) president', 'chancellor', 'principal', 'provost']
['学年']#[['がくねん']]#5#['&n;']#['academic year', 'school year']
['学名']#[['がくめい']]#5#['&n;']#['scientific name (of a species)', 'binomial name', 'Latin name']
['学友']#[['がくゆう']]#5#['&n;']#['school friend']
['笠子']#[['かさご'], ['カサゴ']]#5#['&n;']#['scorpionfish']
['姦人']#[['かんじん']]#5#['&n;']#['villain', 'scoundrel']
['翰長']#[['かんちょう']]#5#['&n;']#['Cabinet (Chief) Secretary']
['間']#[['あいだ'], ['あわい']]#5#['&n;']#['space (between)', 'gap', 'interval', 'distance', 'stretch']
['間']#[['ま']]#5#['&n;']#['time', 'pause']
['間の子']#[['あいのこ']]#5#['&n;']#['person of mixed parentage', 'crossbreed', 'Eurasian', 'mulatto', 'hybrid']
['間口']#[['まぐち']]#5#['&n;']#['frontage', 'width (of a building, plot of land, etc.)']
['間男']#[['まおとこ']]#5#['&n;']#[\"married woman's secret lover\", 'paramour']
['間中']#[['あいだじゅう']]#5#['&n;']#['during']
['間諜']#[['かんちょう']]#5#['&n;']#['spy', 'secret agent']
['韓国']#[['かんこく']]#5#['&n;']#['South Korea', 'Republic of Korea']
['韓国語']#[['かんこくご']]#5#['&n;']#['Korean (language)']
['韓国人']#[['かんこくじん']]#5#['&n;']#['South Korean person']
['韓人']#[['かんじん']]#5#['&n;']#['Korean person']
['贋金']#[['にせがね']]#5#['&n;']#['counterfeit money']
['雁書']#[['がんしょ']]#5#['&n;']#['letter']
['雁木']#[['がんぎ']]#5#['&n;']#['zigzag pattern', 'zigzag formation']
['ガンギ車']#[['ガンギぐるま'], ['がんぎぐるま']]#5#['&n;']#['escape wheel (in a timepiece)']
['雁木鑢']#[['がんぎやすり']]#5#['&n;']#['zigzag rasp']
['気']#[['き']]#5#['&n;']#['spirit', 'mind', 'heart']
['気どり']#[['きどり']]#5#['&n;']#['affectation', 'pretension']
['気のせい']#[['きのせい']]#5#['&exp;', '&n;']#[\"in one's imagination\"]
['気まま']#[['きまま']]#5#['&adj-na;', '&n;']#['willful', 'wilful', 'selfish', 'self-centered', 'egoistic']
['休め']#[['やすめ']]#5#['&int;']#['(stand) at ease!']
['気学']#[['きがく']]#5#['&n;']#['fortune telling based on Chinese twelve year cycle']
['気休め']#[['きやすめ']]#5#['&n;']#['mere consolation', 'temporary peace of mind']
['気前']#[['きまえ']]#5#['&n;']#['generosity']
['気道']#[['きどう']]#5#['&n;']#['respiratory tract', 'air duct']
['気分']#[['きぶん']]#5#['&n;']#['feeling', 'mood']
['気立て']#[['きだて']]#5#['&n;']#['disposition', 'nature']
['おどけ話']#[['おどけばなし']]#5#['&n;']#['funny story']
['蟻食い']#[['ありくい'], ['アリクイ']]#5#['&n;']#['anteater']
['休み']#[['やすみ']]#5#['&n;']#['rest', 'recess', 'respite']
['休み中']#[['やすみちゅう']]#5#['&adj-no;', '&n;']#['during vacation', 'during the holidays', \"during one's break\"]
['休火山']#[['きゅうかざん']]#5#['&n;']#['dormant volcano']
