Kanji#Reading#JLPT#Type#Meaning
['〃']#[['おなじ'], ['おなじく']]#100#['&n;']#['ditto mark']
['ずぶ濡れ']#[['ずぶぬれ']]#100#['&adj-no;', '&n;']#['dripping wet', 'soaked', 'drenched']
['其れ']#[['それ']]#100#['&pn;']#['that', 'it']
['其れで']#[['それで']]#100#['&conj;']#['and', 'thereupon', 'because of that']
['其れに']#[['それに']]#100#['&conj;']#['besides', 'in addition', 'also', 'moreover']
['鱮']#[['たなご'], ['タナゴ']]#100#['&n;']#['bitterling (any fish of subfamily Acheilognathinae, esp. species Acheilognathus melanogaster)']
['たん瘤']#[['たんこぶ'], ['タンコブ']]#100#['&n;']#['bump (e.g. on forehead)', 'lump', 'protuberance', 'swelling']
['だぼ鯊']#[['だぼはぜ'], ['ダボハゼ']]#100#['&n;']#['goby (fish)']
['ちゃんこ鍋']#[['ちゃんこなべ']]#100#['&n;']#['chankonabe', {'_': 'fish, meat, and vegetable stew traditionally served to wrestlers', '$': {'g_type': 'expl'}}]
['ちょび髭']#[['ちょびひげ']]#100#['&n;']#['small mustache', 'short mustache']
['躑躅']#[['つつじ'], ['ツツジ']]#100#['&n;']#['azalea (Rhododendron spp.)']
['鳶']#[['とび'], ['とんび'], ['トビ'], ['トンビ']]#100#['&n;']#['black kite (Milvus migrans)']
['にいにい蝉']#[['にいにいぜみ']]#100#['&n;']#['Kaempfer cicada (Platypleura kaempferi)']
['糞']#[['ばば']]#100#['&n;']#['shit', 'crap']
['蔕']#[['へた'], ['ほぞ']]#100#['&n;']#['calyx']
['𩸽']#[['ほっけ'], ['ホッケ']]#100#['&n;']#['arabesque greenling (Pleurogrammus azonus)', 'Okhotsk Atka mackerel']
['惚け']#[['ぼけ'], ['ボケ']]#100#['&n;']#['fool', 'idiot']
['みんみん蝉']#[['みんみんぜみ'], ['ミンミンゼミ']]#100#['&n;']#['robust cicada (Oncotympana maculaticollis)', 'mingming cicada']
['鼯鼠']#[['むささび'], ['むざさび'], ['ムササビ']]#100#['&n;']#['Japanese giant flying squirrel (Petaurista leucogenys)']
['捩り']#[['もじり']]#100#['&n;']#['parody', 'imitation']
['鼯鼠']#[['ももんが'], ['ももんがあ'], ['モモンガ']]#100#['&n;']#['Japanese flying squirrel (Pteromys momonga)', 'small Japanese flying squirrel', 'Japanese dwarf flying squirrel']
['涎']#[['よだれ']]#100#['&n;']#['drool']
['碌']#[['ろく']]#100#['&adj-na;', '&n;']#['satisfactory', 'decent', 'good', 'proper', 'worthy']
['ＯＵＴ']#[['アウト']]#100#['&n;']#['out (of a ball, in tennis, etc.)', 'outside the line']
['アキレス腱']#[['アキレスけん']]#100#['&n;']#['Achilles tendon', 'calcaneal tendon']
['ＡＳＣＩＩ']#[['アスキー']]#100#['&n;']#['American Standard Code for Information Interchange', 'ASCII']
['ＡＳＲＯＣ']#[['アスロック']]#100#['&n;']#['Anti-Submarine ROCket', 'ASROC']
['アメリカ豹']#[['アメリカひょう']]#100#['&n;']#['jaguar']
['Α']#[['アルファ']]#100#['&n;']#['alpha']
['＆']#[['アンド'], ['エンド']]#100#['&conj;']#['and']
['ＩＮ']#[['イン']]#100#['&n;']#['in (of a ball, in tennis, etc.)', 'inside the line']
['吋']#[['インチ'], ['いんち']]#100#['&n;']#['inch']
['ＡＩＤＳ']#[['エイズ']]#100#['&n;']#['acquired immune deficiency syndrome', 'AIDS']
['Ｓ']#[['エス']]#100#['&n;']#['S', 's']
['ＳＦ']#[['エスエフ']]#100#['&n;']#['science fiction', 'sci-fi', 'SF']
['ＳＭ']#[['エスエム']]#100#['&n;']#['SM', 'S&amp;M', 'sado-masochism']
['ＳＯＳ']#[['エスオーエス']]#100#['&n;']#['save our souls', 'SOS']
['Ｓサイズ']#[['エスサイズ'], ['エス・サイズ']]#100#['&n;']#['S size', 'small size']
['ＳＴＯＬ']#[['ストール'], ['エストール']]#100#['&n;']#['short take-off and landing', 'STOL']
['Ｈ']#[['エッチ'], ['エイチ']]#100#['&n;']#['H', 'h']
['ｅｔｃ．']#[['エトセトラ'], ['エト・セトラ']]#100#['&n;']#['et cetera', 'and so forth']
['ＦＭ']#[['エフエム']]#100#['&n;']#['FM', 'frequency modulation']
['ＦＭチューナー']#[['エフエムチューナー']]#100#['&n;']#['FM tuner']
['ＦＢＩ']#[['エフビーアイ']]#100#['&n;']#['Federal Bureau of Investigation', 'FBI']
['Ｍサイズ']#[['エムサイズ'], ['エム・サイズ']]#100#['&n;']#['M size', 'medium size']
['ＬＳＤ']#[['エルエスディー']]#100#['&n;']#['lysergic acid diethylamide', 'LSD']
['Ｌサイズ']#[['エルサイズ'], ['エル・サイズ']]#100#['&n;']#['L size', 'large size']
['ＬＰレコード']#[['エルピーレコード']]#100#['&n;']#['long-playing record', 'long-play record', 'LP record']
['ＯＬ']#[['オーエル']]#100#['&n;']#['female office worker', 'office lady', 'OL']
['ＯＫ']#[['オッケー'], ['オーケー']]#100#['&int;', '&n;', '&vs;']#['OK', 'okay']
['ＯＢ']#[['オービー']]#100#['&n;']#['old boy', 'alumnus', 'graduate', 'former member', 'former employee', 'former player']
['Ω']#[['オメガ']]#100#['&n;']#['omega']
['カツ丼']#[['カツどん'], ['かつどん']]#100#['&n;']#['katsudon', {'_': 'pork cutlet served on top of a bowl of rice', '$': {'g_type': 'expl'}}]
['咖哩']#[['カレー'], ['カリー']]#100#['&n;']#['curry (esp. Japanese curry)']
['カレー饂飩']#[['カレーうどん']]#100#['&n;']#['curry udon', 'udon with curry sauce']
['柬埔寨']#[['カンボジア']]#100#['&n;']#['Cambodia']
['瓦斯']#[['ガス']]#100#['&n;']#['gas (state of matter, e.g. poison gas, natural gas)']
['Γ']#[['ガンマ'], ['ガンマー']]#100#['&n;']#['gamma']
['瓩']#[['キログラム']]#100#['&n;']#['kilogram', 'kilogramme']
['粁']#[['キロメートル'], ['キロメイトル']]#100#['&n;']#['kilometer', 'kilometre']
['瓜姆']#[['グアム'], ['グァム'], ['ガム']]#100#['&n;']#['Guam']
['瓦']#[['グラム']]#100#['&n;']#['gram', 'gramme']
['グリーンＰＣ']#[['グリーンピーシー']]#100#['&n;']#['environmentally friendly computer (e.g. low power consumption)']
['ＧＯサイン']#[['ゴーサイン'], ['ゴー・サイン']]#100#['&n;']#['green light', '(giving) permission', 'OK']
['蜚蠊']#[['ごきぶり'], ['ゴキブリ']]#100#['&n;']#['cockroach']
['サイクロＣ']#[['サイクロシー']]#100#['&n;']#['cyclo-C', 'cyclocytidine']
['撒哈拉']#[['サハラ']]#100#['&n;']#['Sahara']
['蝲蛄']#[['ざりがに'], ['ザリガニ']]#100#['&n;']#['crayfish (esp. Japanese crayfish, Cambaroides japonicus or red swamp crayfish, Procambarus clarkii)', 'crawfish']
['ＣＩＡ']#[['シーアイエー']]#100#['&n;']#['Central Intelligence Agency (US)', 'CIA']
['ＣＭ']#[['シーエム']]#100#['&n;']#['commercial (radio, TV, etc.)', 'ad', 'commercial message']
['ＣＴＳ']#[['シーティーエス']]#100#['&n;']#['computerized typesetting system (computerised)', 'CTS']
['ＣＴＣ']#[['シーティーシー']]#100#['&n;']#['centralized traffic control (centralised)', 'CTC']
['ＣＤ']#[['シーディー']]#100#['&n;']#['compact disk', 'CD']
['ＣＤ-ＲＯＭ']#[['シーディーロム']]#100#['&n;']#['compact disk read-only memory', 'CD-ROM']
['Σ']#[['シグマ']]#100#['&n;']#['sigma']
['システム５']#[['システムファイブ']]#100#['&n;']#['System V (variety of Unix)', 'System 5']
['シフトＪＩＳ']#[['シフトジス'], ['シフト・ジス']]#100#['&n;']#['Shift JIS', 'SJIS']
['ＧＩ']#[['ジーアイ']]#100#['&n;']#['GI (soldier in the US Army)', 'G.I.']
['ＧＮＰ']#[['ジーエヌピー']]#100#['&n;']#['gross national product', 'GNP']
['Ｇパン']#[['ジーパン']]#100#['&n;']#['jeans', 'dungarees']
['ＪＩＳ']#[['ジス'], ['ジェーアイエス']]#100#['&n;']#['Japanese Industrial Standards', 'JIS']
['ＪＡＳ']#[['ジャス']]#100#['&n;']#['Japanese Agricultural Standard', 'JAS']
['スクラップ＆ビルド']#[['スクラップアンドビルド']]#100#['&n;']#['scrap and build']
['禿び']#[['ちび'], ['チビ']]#100#['&n;']#['small child', 'pipsqueak', 'small fry', 'small, cute versions of manga, anime, etc. characters, typically with oversized heads']
['ＴＢ']#[['テーベー']]#100#['&n;']#['tuberculosis', 'TB']
['Δ']#[['デルタ']]#100#['&n;']#['delta']
['トライ＆エラー']#[['トライアンドエラー']]#100#['&n;']#['trial and error']
['ＴＲＯＮ']#[['トロン']]#100#['&n;']#['TRON', 'The Realtime Operating System Nucleus']
['ＤＯＳ']#[['ドス']]#100#['&n;']#['disk operating system', 'DOS']
['弗']#[['ドル']]#100#['&n;']#['dollar']
['ＮＡＳＡ']#[['ナサ']]#100#['&n;']#['National Aeronautics and Space Administration', 'NASA']
['ＮＡＴＯ']#[['ナトー']]#100#['&n;']#['North Atlantic Treaty Organization (Organisation)', 'NATO']
['ＮＡＦＴＡ']#[['ナフタ']]#100#['&n;']#['North American Free Trade Agreement', 'NAFTA']
['ＮＯＲ']#[['ノア']]#100#['&n;']#['NOR (Boolean operator)']
['パン屑']#[['パンくず']]#100#['&n;']#['breadcrumbs']
['ＶＩＰ']#[['ブイアイピー'], ['ビップ'], ['ヴィップ']]#100#['&n;']#['very important person', 'VIP']
['ＰＲ']#[['ピーアール']]#100#['&n;']#['PR', 'public relations']
['ＦＯＲＴＲＡＮ']#[['フォートラン']]#100#['&n;']#['Fortran (programming language)']
['ＶＴＯＬ']#[['ブイトール']]#100#['&n;']#['vertical take-off and landing', 'VTOL']
['プラスα']#[['プラスアルファ']]#100#['&n;']#['a little more than usual', 'bribe money added to a regular fee', 'and then some']
['Β']#[['ベータ'], ['ベーター'], ['ヴィタ']]#100#['&n;']#['beta']
['ベスト８']#[['ベストエイト'], ['ベスト・エイト']]#100#['&n;']#['quarterfinal round', 'quarterfinals']
['ベスト４']#[['ベストフォー']]#100#['&n;']#['final four (in a tournament)', 'semifinalists']
['ｐＨ']#[['ペーハー'], ['ピーエイチ'], ['ピーエッチ'], ['ペー・ハー'], ['ピー・エイチ'], ['ピー・エッチ']]#100#['&n;']#['pH']
['鈕']#[['ボタン']]#100#['&n;']#['button (clothing)']
['ＰＯＳシステム']#[['ポスシステム'], ['ピーオーエスシステム']]#100#['&n;']#['point of sales system', 'POS system']
['葡萄牙']#[['ポルトガル']]#100#['&n;']#['Portugal']
['哩']#[['マイル']]#100#['&n;']#['mile']
['ＭｉＧ']#[['ミグ']]#100#['&n;']#['Mig (Russian aeroplane, airplane)', 'MIG']
['粍']#[['ミリメートル'], ['ミリメーター']]#100#['&n;']#['millimeter', 'millimetre']
['狢']#[['むじな'], ['ムジナ']]#100#['&n;']#['badger']
['メッセージＩｄ']#[['メッセージアイディー']]#100#['&n;']#['message-id']
['碼']#[['ヤード']]#100#['&n;']#['yard (unit of distance)']
['ＵＦＯ']#[['ユーフォー'], ['ユーエフオー'], ['ユーフオー'], ['ユー・エフ・オー']]#100#['&n;']#['unidentified flying object', 'UFO']
['Ｕボート']#[['ユーボート']]#100#['&n;']#['U-boat', 'submarine']
['ＵＮＩＣＥＦ']#[['ユニセフ']]#100#['&n;']#[\"United Nations Children's Fund (formerly Children's Emergency Fund)\", 'UNICEF']
['拉麺']#[['ラーメン'], ['らーめん'], ['らあめん']]#100#['&n;']#['ramen', {'_': 'Chinese-style noodles', '$': {'g_type': 'expl'}}]
['Λ']#[['ラムダ']]#100#['&n;']#['lambda']
['ＬＩＳＰ']#[['リスプ']]#100#['&n;']#['Lisp (programming language)']
['檸檬']#[['レモン'], ['れもん']]#100#['&n;']#['lemon']
['ＲＯＭ']#[['ロム']]#100#['&n;']#['read-only memory', 'ROM']
['Ｙシャツ']#[['ワイシャツ']]#100#['&n;']#['(formal) shirt', 'dress shirt', 'business shirt', 'button-up shirt']
['１']#[['ワン']]#100#['&num;']#['one']
['βカロテン']#[['ベータカロテン'], ['ベータカロチン'], ['ベタカロテン'], ['ベタカロチン']]#100#['&n;']#['beta-carotene']
['唖']#[['おし'], ['あ'], ['おうし']]#100#['&n;']#['muteness', 'speech impairment']
['娃鬟']#[['あいかん']]#100#['&n;']#['beautiful woman']
['虻']#[['あぶ'], ['あむ'], ['アブ']]#100#['&n;']#['horsefly', 'gadfly']
['飴']#[['あめ']]#100#['&n;']#['(hard) candy', 'toffee']
['粟']#[['あわ']]#100#['&n;']#['foxtail millet (Setaria italica)', 'Italian millet (also Hungarian, German)']
['袷']#[['あわせ']]#100#['&n;']#['lined kimono']
['庵']#[['いおり'], ['あん'], ['いお']]#100#['&n;', '&n-suf;']#['hermitage', 'retreat']
['夷']#[['えびす']]#100#['&n;']#['peoples formerly of northern Japan with distinct language and culture (i.e. the Ainu)']
['夷狄']#[['いてき']]#100#['&n;']#['barbarians', 'aliens']
['謂れ']#[['いわれ']]#100#['&n;']#['reason', 'cause']
['１コマ']#[['ひとコマ'], ['ひとこま']]#100#['&n;']#['one scene', 'one frame', 'one shot', 'one exposure']
['１０００']#[['いっせん']]#100#['&num;']#['1,000', 'one thousand']
['溢れ']#[['あふれ']]#100#['&n;']#['overflow']
['茨']#[['いばら'], ['イバラ']]#100#['&n;']#['thorny shrub']
['淫ら']#[['みだら']]#100#['&adj-na;', '&n;']#['obscene', 'indecent', 'lewd', 'bawdy', 'loose', 'improper', 'dirty']
['淫蕩']#[['いんとう']]#100#['&adj-na;', '&n;']#['dissipation', 'lewdness']
['淫祠']#[['いんし']]#100#['&n;']#['shrine of evil deity']
['淫靡']#[['いんび']]#100#['&adj-na;', '&n;']#['impurity', 'obscenity']
['烏']#[['からす'], ['カラス']]#100#['&n;']#['crow (Corvus spp.)', 'raven']
['鵜']#[['う'], ['ウ']]#100#['&n;']#['cormorant (Phalacrocoracidae spp.)']
['鵜呑み']#[['うのみ']]#100#['&n;']#['swallowing without chewing']
['臼']#[['うす']]#100#['&n;']#['millstone', 'mortar']
['鰻']#[['うなぎ'], ['むなぎ'], ['ウナギ']]#100#['&n;']#['eel (esp. the Japanese eel, Anguilla japonica)']
['うな丼']#[['うなどん'], ['うなぎどんぶり']]#100#['&n;']#['bowl of eel and rice (donburi)']
['厩']#[['うまや'], ['まや']]#100#['&n;']#['stable', 'barn']
['瓜']#[['うり'], ['ウリ']]#100#['&n;']#['melon', 'gourd']
['荏']#[['え']]#100#['&n;']#['egoma (type of perilla)', 'Perilla frutescens var. frutescens']
['餌']#[['えさ'], ['え'], ['エサ']]#100#['&n;']#['(animal) feed', 'fodder', 'pet food']
['えのき茸']#[['えのきたけ'], ['えのきだけ'], ['エノキタケ'], ['エノキダケ']]#100#['&n;']#['enoki mushroom (Flammulina velutipes)', 'winter mushroom', 'velvet shank', 'enokitake', 'enokidake']
['掩蓋']#[['えんがい']]#100#['&n;']#['cover(ing)']
['燕']#[['つばめ'], ['つばくらめ'], ['つばくら'], ['つばくろ'], ['ツバメ']]#100#['&n;']#['swallow (bird of the Hirundinidae family)', 'martin']
['燕雀']#[['えんじゃく']]#100#['&n;']#['small birds']
['鴛鴦']#[['おしどり'], ['えんおう'], ['おし'], ['オシドリ']]#100#['&n;']#['mandarin duck (Aix galericulata)']
['甥']#[['おい']]#100#['&n;']#['nephew']
['襖']#[['ふすま']]#100#['&n;']#['fusuma', {'_': 'Japanese sliding screen', '$': {'g_type': 'expl'}}]
['鶯']#[['うぐいす'], ['ウグイス']]#100#['&n;']#['Japanese bush warbler (Horornis diphone)', 'Japanese nightingale']
['鴎']#[['かもめ'], ['かまめ'], ['カモメ']]#100#['&n;']#['common gull (Larus canus)', 'mew gull']
['荻']#[['おぎ'], ['オギ']]#100#['&n;']#['Amur silvergrass (Miscanthus sacchariflorus)']
['桶']#[['おけ']]#100#['&n;']#['bucket', 'pail', 'tub']
['ぼた餅']#[['ぼたもち']]#100#['&n;']#['adzuki bean-covered mochi', 'botamochi']
['牡蠣']#[['かき'], ['ぼれい'], ['カキ']]#100#['&n;']#['oyster', 'oyster shell']
['炬燵']#[['こたつ'], ['コタツ']]#100#['&n;']#['kotatsu', {'_': 'table over an electric heater (orig. a charcoal brazier in a floor well) with a hanging quilt that retains heat', '$': {'g_type': 'expl'}}]
['苛斂']#[['かれん']]#100#['&n;']#['oppressive exaction (of taxes, etc.)']
['蝦夷']#[['えぞ'], ['えみし']]#100#['&n;']#['Emishi', {'_': 'historical term for non-Yamato peoples in northern Japan', '$': {'g_type': 'expl'}}]
['蝦蛄']#[['しゃこ'], ['シャコ']]#100#['&n;']#['mantis shrimp (any marine crustacean of order Stomatopoda, esp. the species Oratosquilla oratoria)']
['牙']#[['きば'], ['き'], ['キバ']]#100#['&n;']#['tusk', 'fang']
['蛾']#[['が'], ['ガ']]#100#['&n;']#['moth']
['蟹']#[['かに'], ['カニ']]#100#['&n;']#['crab']
['咳']#[['せき'], ['しわぶき']]#100#['&n;']#['cough', 'coughing', 'tussis']
['崖']#[['がけ']]#100#['&n;']#['cliff', 'precipice']
['蓋']#[['ふた'], ['フタ']]#100#['&n;']#['cover', 'lid', 'cap']
['鎧']#[['よろい']]#100#['&n;']#['armor', 'armour']
['柿']#[['かき'], ['カキ']]#100#['&n;']#['kaki', 'Japanese persimmon (Diospyros kaki)']
['顎']#[['あご'], ['がく'], ['アゴ']]#100#['&n;']#['jaw', 'chin']
['笠']#[['かさ']]#100#['&n;']#['conical hat (East-Asian style)', 'coolie hat']
['樫']#[['かし'], ['かしい'], ['カシ']]#100#['&n;']#['evergreen oak']
['鰍']#[['かじか'], ['とふぎょ'], ['カジカ']]#100#['&n;']#[\"sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)\"]
['葛']#[['くず'], ['つづら'], ['クズ']]#100#['&n;']#['kudzu (Pueraria montana)', 'Japanese arrowroot']
['鰹']#[['かつお'], ['しょうぎょ'], ['カツオ']]#100#['&n;']#['skipjack tuna (Katsuwonus pelamis)', 'oceanic bonito', 'victorfish']
['鞄']#[['かばん'], ['カバン']]#100#['&n;']#['bag', 'satchel', 'briefcase', 'basket']
['兜']#[['かぶと']]#100#['&n;']#['helmet (of a warrior)', 'headpiece']
['蒲鉾']#[['かまぼこ'], ['カマボコ']]#100#['&n;']#['kamaboko', {'_': 'steamed seasoned fish paste, usu. in a semicylindrical shape on a strip of wood and sliced to go in soup, etc.', '$': {'g_type': 'expl'}}]
['釜']#[['かま']]#100#['&n;']#['iron pot', 'kettle']
['鴨']#[['かも'], ['カモ']]#100#['&n;']#['duck']
['鴨の嘴']#[['かものはし'], ['カモノハシ']]#100#['&n;']#['platypus (Ornithorhynchus anatinus)']
['粥']#[['かゆ'], ['しゅく'], ['かい']]#100#['&n;']#['thin rice porridge', 'watery cooked rice', 'rice gruel', 'congee']
['瓦']#[['かわら']]#100#['&n;']#['roof tile']
['瓦礫']#[['がれき'], ['がりゃく']]#100#['&n;']#['rubble', 'debris', 'wreckage']
['竿']#[['さお']]#100#['&n;']#['rod', 'pole']
['癌']#[['がん'], ['ガン']]#100#['&n;']#['cancer']
['癌腫']#[['がんしゅ']]#100#['&n;']#['carcinoma']
['雁爪']#[['がんづめ']]#100#['&n;']#['claw hoe', 'coal-trimming rake']
['蟻']#[['あり'], ['アリ']]#100#['&n;']#['ant']
['吃り']#[['どもり']]#100#['&n;']#['stammer', 'stutter']
['桔梗']#[['ききょう']]#100#['&n;']#['Chinese bellflower (Platycodon grandiflorus)']
['黍']#[['きび'], ['きみ'], ['キビ']]#100#['&n;']#['(common) millet (Panicum miliaceum)', 'proso millet']
['仇讎']#[['きゅうしゅう']]#100#['&n;']#['revenge', 'bitter enemy']
['鋸']#[['のこぎり'], ['ノコギリ']]#100#['&n;']#['saw']
['鋸屑']#[['のこくず'], ['のこぎりくず'], ['きょせつ']]#100#['&n;']#['sawdust']
['侠']#[['きゃん']]#100#['&adj-na;', '&n;']#['pert', 'tomboyish', 'impudent', 'lively', 'boisterous']
['串']#[['くし']]#100#['&n;']#['spit', 'skewer']
['串カツ']#[['くしカツ'], ['くしかつ']]#100#['&n;']#['kushikatsu', 'deep-fried skewered meat and vegetables']
['櫛']#[['くし'], ['クシ']]#100#['&n;']#['comb']
['屑']#[['くず'], ['クズ']]#100#['&n;']#['waste', 'scrap', 'garbage', 'dregs']
['屑籠']#[['くずかご'], ['くずカゴ'], ['クズかご'], ['クズカゴ']]#100#['&n;']#['wastebasket', 'wastepaper basket']
['鍬']#[['くわ']]#100#['&n;']#['hoe']
['畦']#[['あぜ'], ['くろ']]#100#['&n;']#['ridge of earth between rice fields']
['繋がり']#[['つながり']]#100#['&n;']#['connection', 'link', 'relationship']
['繋ぎ']#[['つなぎ'], ['ツナギ']]#100#['&n;']#['link', 'connection', 'tie', 'bond', 'contact']
['隙']#[['すき'], ['げき'], ['ひま'], ['すきけ']]#100#['&n;']#['gap', 'space']
['桁']#[['けた']]#100#['&n;']#['column', 'beam', 'girder', 'crossbeam', 'spar', 'yard']
['鍵']#[['かぎ'], ['カギ']]#100#['&n;']#['key']
['諺']#[['ことわざ']]#100#['&n;']#['proverb', 'saying', 'aphorism', 'maxim']
['姑']#[['しゅうとめ'], ['しゅうと'], ['しうとめ'], ['しいとめ']]#100#['&n;']#['mother-in-law']
['狐']#[['きつね'], ['けつね'], ['きつ'], ['キツネ']]#100#['&n;']#['fox (esp. the red fox, Vulpes vulpes)']
['狐狸']#[['こり']]#100#['&n;']#['foxes and tanuki']
['狐うどん']#[['きつねうどん'], ['けつねうどん'], ['キツネうどん']]#100#['&n;']#['udon with deep-fried tofu']
['糊']#[['のり']]#100#['&n;']#['paste', 'glue']
['袴']#[['はかま']]#100#['&n;']#['hakama', \"man's formal divided skirt\"]
['股']#[['また']]#100#['&n;']#['crotch', 'crutch', 'groin', 'thigh']
['股肱']#[['ここう']]#100#['&n;']#[\"one's right-hand man\", \"one's trusted henchman\"]
['お襁褓']#[['おむつ'], ['オムツ']]#100#['&n;']#['diaper', 'nappy', 'napkin']
['乞丐']#[['こつがい'], ['かたい'], ['かったい'], ['きっかい']]#100#['&n;']#['beggar', 'bum']
['垢']#[['あか']]#100#['&n;']#['dirt', 'filth', 'grime']
['巷']#[['ちまた']]#100#['&n;']#['the public', 'the street (e.g. \"word on the street\")']
['杭']#[['くい']]#100#['&n;']#['stake', 'post', 'pile', 'picket']
['麹']#[['こうじ'], ['かむだち']]#100#['&n;']#['kōji', 'malted rice', 'malt', {'_': 'malt-like material from growing mold on rice, barley, beans, etc. (used as a starter to make sake, miso, soy sauce, etc.)', '$': {'g_type': 'expl'}}]
['麹黴']#[['こうじかび']]#100#['&n;']#['koji mold (Aspergillus oryzae)']
['犀']#[['さい'], ['サイ']]#100#['&n;']#['rhinoceros']
['砦']#[['とりで']]#100#['&n;']#['fort', 'fortress', 'stronghold', 'fortification']
['榊']#[['さかき']]#100#['&n;']#['sakaki (species of evergreen sacred to Shinto, Cleyera japonica)']
['肴']#[['さかな']]#100#['&n;']#['appetizer or snack served with drinks']
['柵']#[['さく']]#100#['&n;']#['fence', 'paling', 'railing']
['鯖']#[['さば'], ['サバ']]#100#['&n;']#['mackerel (esp. the chub mackerel, Scomber japonicus)']
['鮫']#[['さめ'], ['サメ']]#100#['&n;']#['shark']
['３０００']#[['さんぜん']]#100#['&num;']#['3000', 'three thousand']
['３００']#[['さんびゃく']]#100#['&num;']#['300', 'three hundred']
['斯くて']#[['かくて']]#100#['&adv;', '&conj;']#['thus', 'in this way']
['痔ろう']#[['じろう']]#100#['&n;']#['anal fistula']
['縞']#[['しま']]#100#['&n;', '&n-suf;', '&adj-no;']#['stripe', 'bar', 'streak']
['錫']#[['すず'], ['スズ']]#100#['&n;']#['tin (Sn)']
['錫杖']#[['しゃくじょう'], ['さくじょう']]#100#['&n;']#[\"bishop's staff\", 'khakkhara']
['腫']#[['しゅ']]#100#['&n-suf;']#['tumor', 'tumour']
['腫瘍']#[['しゅよう']]#100#['&n;']#['tumor', 'tumour', 'neoplasm', 'neoplasia']
['呪い']#[['のろい']]#100#['&n;']#['curse', 'spell', 'malediction']
['呪い']#[['まじない']]#100#['&n;']#['charm', 'incantation', 'spell', 'curse']
['夙']#[['しゅく']]#100#['&n;']#[{'_': 'outcasts common around the Kyoto region from the Kamakura period to the Edo period', '$': {'g_type': 'expl'}}]
['鋤']#[['すき']]#100#['&n;']#['spade']
['妾']#[['わらわ']]#100#['&pn;']#['I', 'me']
['娼妓']#[['しょうぎ']]#100#['&n;']#['prostitute', 'harlot']
['裳裾']#[['もすそ']]#100#['&n;']#['cuff (of pants)', 'hem (of skirt)', 'train (of dress)', 'foot (of mountain)']
['鍾馗']#[['しょうき']]#100#['&n;']#['Shōki the Plague-Queller', 'Zhong Kui', {'_': 'traditional Chinese deity said to prevent plagues and ward off evil and reputedly able to command 80,000 demons', '$': {'g_type': 'expl'}}]
['鞘']#[['さや']]#100#['&n;']#['scabbard', 'sheath']
['杖']#[['つえ']]#100#['&n;']#['cane', 'walking stick', 'staff', 'wand']
['尻']#[['しり']]#100#['&n;']#['buttocks', 'behind', 'rump', 'bottom', 'hips']
['塵']#[['ごみ'], ['ゴミ'], ['あくた']]#100#['&n;']#['rubbish', 'trash', 'garbage', 'refuse']
['塵芥']#[['じんかい'], ['ちりあくた'], ['ごみあくた']]#100#['&n;']#['rubbish', 'trash', 'garbage', 'refuse']
['塵']#[['ちり']]#100#['&n;']#['dust']
['厨']#[['くりや']]#100#['&n;']#['kitchen']
['錐']#[['きり']]#100#['&n;']#['drill', 'gimlet', 'awl', 'auger']
['雀']#[['すずめ'], ['スズメ']]#100#['&n;']#['tree sparrow (Passer montanus)']
