Kanji#Reading#JLPT#Type#Meaning
['立ち通し']#[['たちどおし']]#4#['&exp;']#['remain standing', 'keeping standing (all the way)']
['旅の空']#[['たびのそら']]#4#['&exp;']#['away from home', 'while travelling']
['女心と秋の空']#[['おんなごころとあきのそら']]#4#['&exp;']#['a woman is as fickle as autumn weather']
['一度だけ']#[['いちどだけ']]#4#['&exp;']#['only once']
['帰れ']#[['かえれ']]#4#['&exp;']#['go home', 'get out']
['心の広い']#[['こころのひろい']]#4#['&exp;']#['generous', 'broad-minded', 'big-hearted']
['さあらぬ体で']#[['さあらぬていで']]#4#['&exp;']#['with a nonchalant air']
['頭が高い']#[['ずがたかい']]#4#['&exp;']#['haughty', \"holding one's head high\"]
['天と地']#[['てんとち']]#4#['&exp;']#['heaven and earth', 'top and bottom']
['電気で動く']#[['でんきでうごく']]#4#['&v5k;', '&exp;']#['to run by electricity']
['時と場合によって']#[['ときとばあいによって']]#4#['&exp;']#['should time and circumstances permit']
['所では']#[['ところでは']]#4#['&exp;']#['so far as']
['道理に外れた']#[['どうりにはずれた']]#4#['&exp;']#['contrary to reason']
['早まって']#[['はやまって']]#4#['&exp;']#[\"in one's hurry\"]
['右の通り']#[['みぎのとおり']]#4#['&exp;']#['as above-mentioned']
['元は']#[['もとは']]#4#['&exp;']#['originally']
['止まれ']#[['とまれ']]#4#['&exp;']#['stop']
['コンマ以下']#[['コンマいか']]#4#['&exp;']#['after the decimal point', 'below the decimal']
['あれ以来']#[['あれいらい']]#4#['&exp;']#['since then']
['明けおめ']#[['あけおめ'], ['アケオメ']]#4#['&exp;']#['Happy New Year']
['ここん所']#[['ここんとこ']]#4#['&exp;']#['recently', 'lately', 'these days']
['もう一度']#[['もういちど']]#4#['&exp;']#['once more', 'again']
['あんな風に']#[['あんなふうに']]#4#['&exp;']#['in that way', 'like that', 'that way']
['そんな風に']#[['そんなふうに']]#4#['&exp;']#['in that manner', 'like that']
['パンと見世物']#[['パンとみせもの']]#4#['&exp;']#['bread and circuses']
['早くから']#[['はやくから']]#4#['&exp;']#['early on', 'earlier on', 'from early']
['近日中に']#[['きんじつちゅうに']]#4#['&exp;']#['in a few days', 'in the near future', 'soon', 'one of these days']
['風林火山']#[['ふうりんかざん']]#4#['&exp;']#['as fast as the wind, as quiet as the forest, as daring as fire, and immovable as the mountain']
['気楽に行こう']#[['きらくにいこう']]#4#['&exp;']#['take it easy']
['が早いか']#[['がはやいか']]#4#['&exp;']#['no sooner ... than ...', 'hardly ... when ...', 'as soon as']
['方がマシ']#[['ほうがマシ'], ['ほうがまし']]#4#['&exp;']#['I would rather', 'I would as lief do', 'strong preference']
['物心ついて以来']#[['ものごころついていらい']]#4#['&exp;']#['for as long as one can remember']
['物なら']#[['ものなら'], ['もんなら']]#4#['&exp;']#['if I (we, etc.) could']
['お暑うございます']#[['おあつうございます']]#4#['&exp;']#['it is very warm']
['思えてならない']#[['おもえてならない']]#4#['&exp;']#['cannot help feeling that', 'cannot help thinking that']
['問わず']#[['とわず']]#4#['&exp;']#['regardless of', 'irrespective of', 'without distinction of', 'no matter (how, what, when, etc.)']
['雨天中止']#[['うてんちゅうし']]#4#['&exp;']#['cancelled because of rain', 'wash out']
['四海兄弟']#[['しかいけいてい']]#4#['&exp;']#['people in the whole world being all brothers', 'universal brotherhood']
['知行合一']#[['ちこうごういつ']]#4#['&exp;']#['awareness comes only through practice']
['あに図らんや']#[['あにはからんや']]#4#['&exp;']#[\"contrary to one's expectations\", \"to one's surprise\"]
['生きとし生ける物']#[['いきとしいけるもの']]#4#['&exp;']#['all living things', \"all God's creatures, great and small\"]
['不立文字']#[['ふりゅうもんじ'], ['ふりつもんじ']]#4#['&exp;']#['Buddhist revelation through intuitive discernment', 'Spiritual awakening cannot be experienced with words and letters', 'Spiritual enlightenment can be attained only by means of communion of mind with mind (Zen Buddhism)']
['一朝有事']#[['いっちょうゆうじ']]#4#['&exp;']#['(when) the time of need arises', 'should an emergency occur']
['千人千色']#[['せんにんせんしょく']]#4#['&exp;']#['So many people, so many minds', 'Everyone has his own ideas and tastes', 'It takes all sorts to make a world', 'To each his (her) own']
['天地晦冥']#[['てんちかいめい']]#4#['&exp;']#['The world is covered in darkness', 'All is plunged into darkness']
['題名なし']#[['だいめいなし']]#4#['&exp;']#['untitled']
['その通り']#[['そのとおり']]#4#['&exp;']#['just like that', 'quite so', 'I agree']
['自分でも']#[['じぶんでも']]#4#['&exp;']#['I, myself', 'one-self', 'by one-self']
['早ければ早いほどいい']#[['はやければはやいほどよい'], ['はやければはやいほどいい']]#4#['&exp;']#['the sooner, the better']
['さらに悪いことに']#[['さらにわるいことに']]#4#['&exp;']#['and what is worse', 'to make matters worse']
['元気出して']#[['げんきだして']]#4#['&exp;']#['keep up your strength', 'chin up!']
['元気出せよ']#[['げんきだせよ']]#4#['&exp;']#['lighten up!', 'cheer up!']
['帰りしな']#[['かえりしな']]#4#['&exp;']#['when about to go back']
['いざ知らず']#[['いざしらず']]#4#['&exp;']#[\"I don't know about ... but\", 'it may be possible for ... but']
['悪びれずに']#[['わるびれずに']]#4#['&exp;']#['calmly', 'with good grace']
['思いきや']#[['おもいきや']]#4#['&exp;']#['contrary to expectations', 'or so we thought, but ...']
['夜のしじま']#[['よるのしじま']]#4#['&exp;']#['stillness of night']
['同じくらい']#[['おなじくらい']]#4#['&exp;']#['approximately the same']
['もさる事ながら']#[['もさることながら']]#4#['&exp;']#['one may well say so, but ...', 'even more than']
['癇の強い']#[['かんのつよい']]#4#['&exp;']#['irritable']
['開けゴマ']#[['ひらけごま'], ['ひらけゴマ']]#4#['&exp;']#['open sesame!']
['木を見て森を見ず']#[['きをみてもりをみず']]#4#['&exp;']#['to not see the wood for the trees', 'to be caught up with trivial matters and lose sight of the big picture']
['嘘も方便']#[['うそもほうべん']]#4#['&exp;']#['the end justifies the means', 'circumstances may justify a lie']
['元も子もない']#[['もともこもない']]#4#['&exp;']#['losing everything', 'coming to nothing', 'having lost the interest and the principal']
['どういう風に']#[['どういうふうに'], ['どうゆうふうに']]#4#['&exp;']#['how', 'in what way', 'in what manner']
['一回りも二回りも']#[['ひとまわりもふたまわりも']]#4#['&exp;']#['one or two sizes (bigger, etc.)', 'one or two levels (better, more mature, etc.)']
['軽い気持ち']#[['かるいきもち']]#4#['&exp;']#['casual', 'doing something without taking it too seriously']
['手が早い']#[['てがはやい']]#4#['&exp;']#['to be a quick worker']
['親の心子知らず']#[['おやのこころこしらず']]#4#['&exp;']#[\"there is no love like a father's\", 'no child knows how dear he is to his parents']
['所へ']#[['ところへ']]#4#['&exp;']#['thereupon', 'shortly thereafter']
['ない事には']#[['ないことには']]#4#['&exp;']#['unless (you do something)']
['を通して']#[['をとおして']]#4#['&exp;']#['through', 'throughout', 'through (the good offices of)', 'by way of']
['ある意味で']#[['あるいみで']]#4#['&exp;']#['in a sense', 'in some way', 'to an extent']
['ある意味では']#[['あるいみでは']]#4#['&exp;']#['in a sense', 'in some way', 'to an extent']
['おぼれる者はわらをもつかむ']#[['おぼれるものはわらをもつかむ']]#4#['&exp;']#['a drowning man will catch at a straw']
['かわいい子には旅をさせよ']#[['かわいいこにはたびをさせよ']]#4#['&exp;']#['spare the rod and spoil the child', {'_': 'if you love your children, send them out into the world', '$': {'g_type': 'lit'}}]
['持ってけ']#[['もってけ']]#4#['&exp;']#['Take it!', 'Take that!']
['言う通り']#[['いうとおり']]#4#['&exp;']#['as (somebody) says']
['日朝間']#[['にっちょうかん']]#4#['&exp;']#['between Japan and North Korea']
['近からず遠からず']#[['ちかからずとおからず']]#4#['&exp;']#['neither near nor far']
['知る人ぞ知る']#[['しるひとぞしる']]#4#['&exp;']#['well-known only to those in the know', 'be well-known but to the few', 'highly regarded by a select few']
['さる事ながら']#[['さることながら']]#4#['&exp;']#['that goes without saying but also ...', 'not only that but ...']
['金は天下の回り物']#[['かねはてんかのまわりもの']]#4#['&exp;']#['money comes and goes', 'money goes around and around']
['できるだけ早く']#[['できるだけはやく']]#4#['&exp;']#['as soon as possible']
['夜も日も明けない']#[['よもひもあけない']]#4#['&exp;']#['cannot live even a minute without someone or something', 'meaning the world to one']
['世が世なら']#[['よがよなら']]#4#['&exp;']#['if times were better', 'if one had been born at an earlier, more opportune time', 'if times had not changed', 'if I had my due']
['早く言えば']#[['はやくいえば']]#4#['&exp;']#['in a word', 'to put it briefly', 'to make a long story short']
['止むに止まれず']#[['やむにやまれず']]#4#['&exp;']#['without being able to help oneself', \"against one's will\", 'compelling', 'pressing', 'irresistible']
['足が地に着かない']#[['あしがちにつかない']]#4#['&exp;']#['losing oneself', 'on top of the world', 'walking on air', 'frivolous']
['言わずと知れた']#[['いわずとしれた']]#4#['&exp;']#['as everyone knows', 'needless to point out']
['今を去ること']#[['いまをさること']]#4#['&exp;']#['dating back from now', 'ago']
['合間合間']#[['あいまあいま']]#4#['&exp;']#['between times', \"when there's a spare moment\"]
['三度の飯より好き']#[['さんどのめしよりすき']]#4#['&exp;']#['very fond of', 'more fond of than eating', 'so fond of that someone would rather not eat than go without', {'_': 'more important than three meals a day', '$': {'g_type': 'lit'}}]
['言を待たない']#[['げんをまたない']]#4#['&exp;']#['needless to say', 'it goes without saying that']
['そこへ持ってきて']#[['そこへもってきて']]#4#['&exp;']#['what is worse', 'to make matters worse']
['人を人とも思わない']#[['ひとをひとともおもわない']]#4#['&exp;']#['disdaining everybody', \"not caring an ounce about other people's feelings\"]
['間が持てない']#[['まがもてない']]#4#['&exp;']#[\"not knowing what to do with the time one has on one's hand\"]
['足るを知る']#[['たるをしる']]#4#['&exp;']#['to know one has enough', \"to be satisfied with one's lot in life\"]
['とどまるところを知らない']#[['とどまるところをしらない']]#4#['&exp;']#['knowing no bounds', 'showing no signs of stopping or slowing down']
['もしもの事']#[['もしものこと']]#4#['&exp;']#['emergency', 'accident', 'rare possibility', 'unexpected occurrence']
['毎度ありがとうございます']#[['まいどありがとうございます']]#4#['&exp;']#['thank you for your continued patronage']
['毎度あり']#[['まいどあり']]#4#['&exp;']#['thank you for your continued patronage']
['週一回']#[['しゅういっかい']]#4#['&exp;']#['once per week']
['以て瞑すべし']#[['もってめいすべし']]#4#['&exp;']#['being so content that one would not mind dying', 'one can now rest in peace', 'one ought to be contented with what has been accomplished']
['ほどの事はない']#[['ほどのことはない']]#4#['&exp;']#['not worth (getting angry about, etc.)']
['を元にして']#[['をもとにして']]#4#['&exp;']#['based on', 'built on', 'made from']
['という所']#[['というところ'], ['とゆうところ']]#4#['&exp;']#['the point of ...', 'the place where ...', 'the part where ...', 'a position described as ...']
['物ともしない']#[['ものともしない']]#4#['&exp;']#['ignoring', 'acting as if it is nothing']
['顔が広い']#[['かおがひろい']]#4#['&exp;']#['well connected', 'well known', 'having a large, diverse circle of acquaintances']
['つまらない物ですが']#[['つまらないものですが']]#4#['&exp;']#[\"it's not much, but ...\"]
['逢うは別れの始め']#[['あうはわかれのはじめ']]#4#['&exp;']#['we meet only to part', {'_': 'meeting is the first step to parting', '$': {'g_type': 'lit'}}]
['気は心']#[['きはこころ']]#4#['&exp;']#[\"it's the thought that counts\"]
['死人に口なし']#[['しにんにくちなし']]#4#['&exp;']#['dead men tell no tales']
['物ならず']#[['ものならず']]#4#['&exp;']#['presenting no difficulty', 'not hard']
['意味をなさない']#[['いみをなさない']]#4#['&exp;']#['not making sense', 'meaningless']
['空室あり']#[['くうしつあり']]#4#['&exp;']#['vacant rooms available']
['心ここにあらず']#[['こころここにあらず']]#4#['&exp;']#['there in body, but not in spirit', 'distracted', 'in one ear and out the other']
['お待たせしました']#[['おまたせしました']]#4#['&exp;']#['thank you for waiting', 'sorry to have kept you waiting']
['病は気から']#[['やまいはきから']]#4#['&exp;']#['sickness and health start with the mind']
['目は口ほどに物を言う']#[['めはくちほどにものをいう']]#4#['&exp;']#['one can say more with a look than with ten thousand words', \"the eyes cannot belie one's true thoughts\", 'the eyes are the windows to the soul', 'eyes are as eloquent as the tongue']
['親の顔が見たい']#[['おやのかおがみたい']]#4#['&exp;']#['what parents would bring up a kid like this?', {'_': \"I'd like to see his (her) parents' faces\", '$': {'g_type': 'lit'}}]
['えんがちょ切った']#[['えんがちょきった']]#4#['&exp;']#['go away, germs!', 'no cooties on me!']
['知らんかった']#[['しらんかった']]#4#['&exp;']#[\"didn't know\", 'was unaware']
['通用しない']#[['つうようしない']]#4#['&exp;']#['to not apply', 'to be proof against']
['働かざる者食うべからず']#[['はたらかざるものくうべからず']]#4#['&exp;']#['if man will not work, he shall not eat', 'no work, no play']
['汝自らを知れ']#[['なんじみずからをしれ']]#4#['&exp;']#['Know thyself']
['何事も']#[['なにごとも']]#4#['&exp;']#['everything', 'anything']
['籠の鳥']#[['かごのとり']]#4#['&exp;']#['caged bird']
['物のついで']#[['もののついで']]#4#['&exp;']#['take the opportunity to (do something else)']
['事のついで']#[['ことのついで']]#4#['&exp;']#['take the opportunity to (do something else)']
['週三回']#[['しゅうさんかい']]#4#['&exp;']#['three times a week']
['早かろう悪かろう']#[['はやかろうわるかろう']]#4#['&exp;']#['haste makes waste']
['右に同じ']#[['みぎにおなじ']]#4#['&exp;']#['like he said', 'same for me', 'ditto']
['見目より心']#[['みめよりこころ']]#4#['&exp;']#['a gentle spirit is more important than looks', 'handsome is as handsome does']
['終わりまで']#[['おわりまで']]#4#['&exp;']#['to the end']
['帰りなんいざ']#[['かえりなんいざ']]#4#['&exp;']#[\"let's move back home\"]
['思うがまま']#[['おもうがまま']]#4#['&exp;']#[\"to one's heart's content or satisfaction\"]
['冬来たりなば春遠からじ']#[['ふゆきたりなばはるとおからじ']]#4#['&exp;']#[\"when winter comes spring isn't far behind\"]
['区別がつかない']#[['くべつがつかない']]#4#['&exp;']#['unable to tell apart']
['目出度し目出度し']#[['めでたしめでたし']]#4#['&exp;']#['and they all lived happily ever after']
['カエサルの物はカエサルに']#[['カエサルのものはカエサルに']]#4#['&exp;']#[\"render unto Caesar the things which are Caesar's\"]
['この通り']#[['このとおり']]#4#['&exp;']#['like this', 'in this way', 'as you see']
['別として']#[['べつとして']]#4#['&exp;']#['other than', 'except for', 'aside from', 'apart from', 'save for']
['知らないふり']#[['しらないふり']]#4#['&exp;']#['feigning ignorance', 'acting dumb']
['品が悪い']#[['ひんがわるい']]#4#['&exp;']#['low class', 'poor quality']
['悪運が強い']#[['あくうんがつよい']]#4#['&exp;']#['having the luck to escape trouble (your behaviour has landed you in)']
['今生の別れ']#[['こんじょうのわかれ']]#4#['&exp;']#['final farewell']
['新年明けましておめでとうございます']#[['しんねんあけましておめでとうございます']]#4#['&exp;']#['Happy New Year']
['色々あって']#[['いろいろあって']]#4#['&exp;']#['what with this and that', 'for a number of reasons']
['見ての通り']#[['みてのとおり']]#4#['&exp;']#['as you see', 'as you can see']
['方がよろしい']#[['ほうがよろしい']]#4#['&exp;']#['had better', 'is advisable']
['方がよろしければ']#[['ほうがよろしければ']]#4#['&exp;']#['if you need', 'if it is necessary']
['事により']#[['ことにより']]#4#['&exp;']#['by (means of)', 'by doing', 'due to', 'via', 'through']
['一度も']#[['いちども']]#4#['&exp;']#['(not) even once', '(not) ever']
['お元気ですか']#[['おげんきですか']]#4#['&exp;']#['how are you?']
['事もあろうに']#[['こともあろうに']]#4#['&exp;']#['of all things (days, etc.)']
['場所もあろうに']#[['ばしょもあろうに']]#4#['&exp;']#['of all places']
['目が黒いうち']#[['めがくろいうち']]#4#['&exp;']#[\"while alive (e.g. I won't allow ... while I'm alive)\"]
['色気より食い気']#[['いろけよりくいけ']]#4#['&exp;']#['fair words fill not the belly', 'food before romance']
['事こそ']#[['ことこそ']]#4#['&exp;']#['this for sure', 'certainly is']
['心して']#[['こころして']]#4#['&exp;']#['carefully', 'with caution']
['やっとの事で']#[['やっとのことで']]#4#['&exp;']#['just managing', 'with great difficulty']
['どうという事はない']#[['どうということはない']]#4#['&exp;']#['nothing special', 'no big deal', \"doesn't matter\"]
['一度ならず']#[['いちどならず']]#4#['&exp;']#['not just once', 'more than once', 'many times', 'again and again']
['朝っぱらから']#[['あさっぱらから']]#4#['&exp;']#['very early in the morning', 'so early in the morning', 'at this ungodly hour']
['転ばぬ先の杖']#[['ころばぬさきのつえ']]#4#['&exp;']#['prevention is better than cure', 'an ounce of prevention is worth a pound of cure', 'look before you leap', 'forewarned is forearmed', 'a stitch in time saves nine', {'_': 'a walking stick before stumbling', '$': {'g_type': 'lit'}}]
['思いがち']#[['おもいがち']]#4#['&exp;']#['apt to think', 'tend to think']
['朝マラの立たぬ男に金貸すな']#[['あさマラのたたぬおとこにかねかすな']]#4#['&exp;']#[\"do not lend money to a man who doesn't have an erection in the morning (because he is not in good health and might die before he can repay)\"]
['一味も二味も']#[['いちみもにみも']]#4#['&exp;']#['totally', 'completely']
['何か物']#[['なにかもの']]#4#['&exp;']#['something or other', 'anything']
['学年度']#[['がくねんど']]#4#['&exp;']#['the school year']
['止むに止まれぬ']#[['やむにやまれぬ']]#4#['&exp;']#['without being able to help oneself', \"against one's will\", 'compelling', 'pressing', 'irresistible']
['止むに止まれない']#[['やむにやまれない']]#4#['&exp;']#['without being able to help oneself', \"against one's will\", 'compelling', 'pressing', 'irresistible']
['ナポリを見て死ね']#[['ナポリをみてしね']]#4#['&exp;']#['see Naples and die']
['アホにつける薬なし']#[['アホにつけるくすりなし'], ['あほうにつけるくすりなし']]#4#['&exp;']#[\"there's no medicine for stupidity\"]
['悪い事は出来ぬもの']#[['わるいことはできぬもの']]#4#['&exp;']#['murder will out']
['運は天にあり']#[['うんはてんにあり']]#4#['&exp;']#[\"there's no flying from fate\", \"you can't fight fate\"]
['何方もどっち']#[['どっちもどっち']]#4#['&exp;']#['both are bad', 'neither is good', \"one's as bad as the other\", 'both are to blame', 'six of one, half a dozen of the other']
['何用']#[['なによう']]#4#['&exp;']#['what kind of business', 'what sort of matter']
['火の用心']#[['ひのようじん']]#4#['&exp;']#['be careful about fire', 'watch out for fire']
['気は持ちよう']#[['きはもちよう']]#4#['&exp;']#['Everything depends on how you look at it']
['魚心あれば水心あり']#[['うおこころあればみずこころあり']]#4#['&exp;']#['if you do a favor for somebody, you will get a return favor', {'_': 'if a fish is friendly toward water, water will be kind to the fish too', '$': {'g_type': 'lit'}}, \"you scratch my back and I'll scratch yours\"]
['教うるは学ぶの半ば']#[['おしうるはまなぶのなかば']]#4#['&exp;']#['we learn by teaching']
['金が物を言う']#[['かねがものをいう']]#4#['&exp;']#['money talks']
['金銀は回り持ち']#[['きんぎんはまわりもち']]#4#['&exp;']#['money comes and goes', 'money goes around and around']
['後は野となれ山となれ']#[['あとはのとなれやまとなれ']]#4#['&exp;']#[\"I don't care what follows\", 'the future will take care of itself']
['好きこそものの上手なれ']#[['すきこそもののじょうずなれ']]#4#['&exp;']#['what one likes, one will do well', 'you become good at what you like doing']
['この親にしてこの子あり']#[['このおやにしてこのこあり']]#4#['&exp;']#[\"the apple doesn't fall far from the tree\", 'like father, like son']
['こちら持ち']#[['こちらもち']]#4#['&exp;']#[\"It's on me\"]
['今に始めぬ']#[['いまにはじめぬ']]#4#['&exp;']#['nothing new', 'same as always', 'nothing new about it']
['子は三界の首枷']#[['こはさんがいのくびかせ']]#4#['&exp;']#['a child is an everlasting responsibility']
['死なばもろとも']#[['しなばもろとも']]#4#['&exp;']#['die all together', 'go to the grave together']
['死んでも死に切れぬ']#[['しんでもしにきれぬ']]#4#['&exp;']#[\"I can't die and leave things this way\"]
['弱き者よ汝の名は女なり']#[['よわきものよなんじのなはおんななり']]#4#['&exp;']#['frailty, thy name is woman']
['女は弱しされど母は強し']#[['おんなはよわしされどはははつよし']]#4#['&exp;']#['though the woman is weak, the mother is strong']
['小事は大事']#[['しょうじはだいじ']]#4#['&exp;']#['a small leak can sink a great ship']
['親の光は七光り']#[['おやのひかりはななひかり']]#4#['&exp;']#['having a famous parent is the best way to fame']
['親見たけりゃ子を見ろ']#[['おやみたけりゃこをみろ']]#4#['&exp;']#['like father, like son']
['人間万事金の世の中']#[['にんげんばんじかねのよのなか']]#4#['&exp;']#['money talks']
['すべての道はローマに通ず']#[['すべてのみちはローマにつうず']]#4#['&exp;']#['all roads lead to Rome']
['大事の前の小事']#[['だいじのまえのしょうじ']]#4#['&exp;']#[\"don't put the trivial ahead of the important\", \"don't sweat the small stuff\", \"don't bother with the details (before embarking on a great enterprise)\"]
['叩けよさらば開かれん']#[['たたけよさらばひらかれん']]#4#['&exp;']#['knock, and it shall be opened unto you', 'God answers prayers']
['知ったことか']#[['しったことか']]#4#['&exp;']#['I have nothing to do with it']
['長所は短所']#[['ちょうしょはたんしょ']]#4#['&exp;']#['if you rely too much on your greatest strength, it will be your greatest weakness']
['転んでもただは起きぬ']#[['ころんでもただはおきぬ']]#4#['&exp;']#[\"all's grist that comes to his mill\", 'turn everything to good account', 'turn anything to profit']
['二度あることは三度ある']#[['にどあることはさんどある']]#4#['&exp;']#['what happens twice will happen thrice']
['バカとハサミは使いよう']#[['バカとハサミはつかいよう'], ['バカとはさみはつかいよう'], ['ばかとはさみはつかいよう']]#4#['&exp;']#['everything comes in handy when used correctly', 'use the right tools for the right job', {'_': 'fools and (blunt) scissors have to be used in the right way', '$': {'g_type': 'lit'}}]
['ものは考えよう']#[['ものはかんがえよう']]#4#['&exp;']#['things depend on how you look at them']
['物は使いよう']#[['ものはつかいよう']]#4#['&exp;']#['things depend on how you use them', 'all things have their uses when they are used in the right way']
['物は試し']#[['ものはためし']]#4#['&exp;']#['the proof of the pudding is in the eating', 'the proof is in the pudding', \"don't knock it till you've tried it\", \"you can't tell unless you try\"]
['文は人なり']#[['ぶんはひとなり']]#4#['&exp;']#['the style is the man', 'the style is the man himself']
['便りのないのはよい便り']#[['たよりのないのはよいたより']]#4#['&exp;']#['no news is good news']
['明日の百より今日の五十']#[['あすのひゃくよりきょうのごじゅう']]#4#['&exp;']#['a bird in the hand is worth two in the bush', {'_': 'fifty today is better than a hundred tomorrow', '$': {'g_type': 'lit'}}]
['いらざるお世話']#[['いらざるおせわ']]#4#['&exp;']#[\"that's none of your business\"]
['餅は餅屋']#[['もちはもちや'], ['モチはモチや']]#4#['&exp;']#['every man knows his own business best', 'one should go to specialists for the best results', {'_': 'for rice cakes, (go to) the rice cake shop', '$': {'g_type': 'lit'}}]
