Kanji#Reading#JLPT#Type#Meaning
['愚図愚図']#[['ぐずぐず'], ['グズグズ']]#1#['&adv;', '&adv-to;', '&vs;']#['slowly', 'tardily', 'dawdling', 'lingering', 'hesitantly']
['繁繁']#[['しげしげ']]#1#['&adv-to;']#['frequently', 'often']
['蒼茫']#[['そうぼう']]#1#['&adj-t;', '&adv-to;']#['vast and blue (e.g. ocean)']
['騒然']#[['そうぜん']]#1#['&adj-t;', '&adv-to;']#['noisy', 'confused', 'uproarious']
['泰然']#[['たいぜん']]#1#['&adj-t;', '&adv-to;']#['calm', 'composed', 'self-possessed', 'firm']
['泰然自若']#[['たいぜんじじゃく']]#1#['&adj-t;', '&adv-to;']#['having presence of mind', 'self-possessed', 'imperturbable', 'calm and self-possessed']
['突如']#[['とつじょ']]#1#['&adv;', '&adv-to;', '&adj-t;']#['suddenly', 'all of a sudden']
['漠然']#[['ばくぜん']]#1#['&adj-t;', '&adv-to;']#['vague', 'obscure', 'indistinct', 'hazy', 'ambiguous']
['物情騒然']#[['ぶつじょうそうぜん']]#1#['&adj-t;', '&adv-to;']#['unrest prevailing', 'turmoil reigning']
['漫然']#[['まんぜん']]#1#['&adj-t;', '&adv-to;']#['aimless', 'rambling', 'desultory', 'casual']
['矢鱈']#[['やたら']]#1#['&adv;', '&adv-to;']#['indiscriminately', 'blindly', 'at random', 'recklessly', 'thoughtlessly', 'excessively', 'profusely']
['躍如']#[['やくじょ']]#1#['&adj-t;', '&adv-to;']#['vivid', 'lifelike', 'graphic']
['幽然']#[['ゆうぜん']]#1#['&adj-t;', '&adv-to;']#['quiet and secluded']
['悠然']#[['ゆうぜん']]#1#['&adj-t;', '&adv-to;']#['calm', 'composed', 'leisurely']
['悠揚']#[['ゆうよう']]#1#['&adj-t;', '&adv-to;']#['self-possessed', 'calm']
['厳']#[['げん']]#1#['&adj-t;', '&adv-to;']#['strict', 'stern']
['爛漫']#[['らんまん']]#1#['&adj-t;', '&adv-to;']#['glorious', 'luxuriant', 'splendid', 'in full bloom', 'in full glory']
['翩翻']#[['へんぽん']]#1#['&adj-t;', '&adv-to;']#['fluttering (flag, etc.)', 'flapping', 'waving']
['颯爽']#[['さっそう']]#1#['&adj-t;', '&adv-to;']#['gallant', 'dashing', 'jaunty']
['唯々諾々']#[['いいだくだく']]#1#['&adj-t;', '&adv-to;']#['obedient', 'submissive', 'tame', 'slavish']
['意気揚々']#[['いきようよう']]#1#['&adj-t;', '&adv-to;']#['triumphant', 'exultant', 'in high and proud spirits']
['鬱蒼']#[['うっそう']]#1#['&adj-t;', '&adv-to;']#['thick', 'dense', 'luxuriant']
['旨々']#[['うまうま']]#1#['&adv-to;']#['successfully', 'nicely']
['渋々']#[['しぶしぶ']]#1#['&adv;', '&adv-to;']#['reluctantly', 'unwillingly']
['淡々']#[['たんたん']]#1#['&adj-t;', '&adv-to;']#['uninterested', 'unconcerned', 'indifferent', 'dispassionate', 'matter-of-fact', 'detached']
['艶々']#[['つやつや'], ['ツヤツヤ']]#1#['&adv;', '&adv-to;', '&vs;', '&adj-no;']#['glossy', 'bright', 'slick']
['遥々']#[['はるばる']]#1#['&adv;', '&adv-to;']#['from afar', 'over a great distance', 'all the way']
['凡々']#[['ぼんぼん']]#1#['&adj-t;', '&adv-to;']#['ordinary', 'usual']
['黙々']#[['もくもく']]#1#['&adj-t;', '&adv-to;', '&n;', '&vs;']#['silent', 'mute', 'dumb']
['悠々']#[['ゆうゆう']]#1#['&adj-t;', '&adv-to;']#['quiet', 'calm', 'leisurely', 'composed']
['幽々']#[['ゆうゆう']]#1#['&adj-t;', '&adv-to;']#['deep', 'dark']
['隆々']#[['りゅうりゅう']]#1#['&adj-t;', '&adv-to;']#['prosperous', 'flourishing', 'thriving']
['累々']#[['るいるい']]#1#['&adj-t;', '&adv-to;']#['in heaps']
['朗々']#[['ろうろう']]#1#['&adj-t;', '&adv-to;']#['clear', 'sonorous', 'full-sounding', 'resonant', 'bright']
['昂然']#[['こうぜん']]#1#['&adj-t;', '&adv-to;']#['elated', 'triumphant', 'proud']
['翼々']#[['よくよく']]#1#['&adj-t;', '&adv-to;']#['prudent', 'very careful']
['整斉']#[['せいせい']]#1#['&adj-t;', '&adv-to;', '&n;']#['arranged', 'organized', 'orderly', 'neat']
['諾々']#[['だくだく']]#1#['&adj-t;', '&adv-to;']#['obedient', 'submissive', 'tame', 'slavish']
['模糊']#[['もこ']]#1#['&adj-t;', '&adv-to;']#['dim', 'vague', 'indistinct', 'faint', 'obscure']
['漠々']#[['ばくばく']]#1#['&adj-t;', '&adv-to;']#['vast', 'boundless']
['空々漠々']#[['くうくうばくばく']]#1#['&adj-t;', '&adv-to;']#['vast', 'boundless', 'wide and empty']
['陰々滅々']#[['いんいんめつめつ']]#1#['&adj-t;', '&adv-to;']#['gloomy and depressing', 'mournful']
['音吐朗朗']#[['おんとろうろう']]#1#['&adj-t;', '&adv-to;']#['in a clear voice']
['紛々']#[['ふんぷん']]#1#['&adj-t;', '&adv-to;']#['confused', 'scattered', 'differing', 'diverse']
['紛然']#[['ふんぜん']]#1#['&adj-t;', '&adv-to;']#['confused', 'jumbled', 'disorderly']
['憤然']#[['ふんぜん']]#1#['&adj-t;', '&adv-to;']#['angry', 'indignant', 'wrathful', 'enraged']
['端然']#[['たんぜん']]#1#['&adj-t;', '&adv-to;']#['proper (appearance, posture, etc.)', 'correct', 'neat', 'straight', 'upright']
['従容']#[['しょうよう']]#1#['&adj-t;', '&adv-to;']#['calm', 'composed', 'tranquil']
['顕然']#[['けんぜん']]#1#['&adj-t;', '&adv-to;', '&adj-nari;']#['clear', 'manifest']
['陶然']#[['とうぜん']]#1#['&adj-t;', '&adv-to;']#['tipsy', 'pleasantly drunk', 'mellow']
['津々']#[['しんしん']]#1#['&adj-t;', '&adv-to;']#['gushing', 'overflowing', 'everlasting', 'unfailing', 'endless']
['微微']#[['びび']]#1#['&adj-t;', '&adv-to;']#['slight', 'insignificant', 'small']
['寂寞']#[['せきばく'], ['じゃくまく']]#1#['&adj-t;', '&adv-to;', '&adj-no;']#['lonely', 'lonesome', 'dreary', 'desolate', 'deserted', 'forlorn']
['粛々']#[['しゅくしゅく']]#1#['&adj-t;', '&adv-to;']#['silent', 'solemn', 'quiet']
['脈々']#[['みゃくみゃく']]#1#['&adj-t;', '&adv-to;']#['continuous', 'unbroken', 'ceaseless']
['玲瓏']#[['れいろう']]#1#['&adj-t;', '&adv-to;']#['clear', 'translucent', 'brilliant', 'sweetly ringing (as the tinklings of jade)']
['揚々']#[['ようよう']]#1#['&adj-t;', '&adv-to;']#['triumphant', 'exultant', 'in high and proud spirits']
['亭々']#[['ていてい']]#1#['&adj-t;', '&adv-to;']#['lofty (tree)']
['威風堂々']#[['いふうどうどう']]#1#['&adj-t;', '&adv-to;']#['majestic', 'commanding', 'imposing', 'stately', 'dignified', 'with pomp and circumstance']
['炎々']#[['えんえん']]#1#['&adj-t;', '&adv-to;']#['blazing', 'fiery']
['艶然']#[['えんぜん']]#1#['&adj-t;', '&adv-to;']#['sweetly smiling', 'like the smiling of a beauty', 'gracious']
['慨然']#[['がいぜん']]#1#['&adj-t;', '&adv-to;']#['indignant', 'sorrowful']
['羊腸']#[['ようちょう']]#1#['&adj-t;', '&adv-to;']#['winding', 'zigzag', 'meandering']
['瞭然']#[['りょうぜん']]#1#['&adj-t;', '&adv-to;']#['obvious', 'evident', 'clear']
['烈々']#[['れつれつ']]#1#['&adj-t;', '&adv-to;']#['fervent', 'fierce', 'violent']
['懇々']#[['こんこん']]#1#['&adj-t;', '&adv-to;']#['earnest', 'kind', 'sincere']
['漫漫']#[['まんまん']]#1#['&adj-t;', '&adv-to;']#['vast', 'boundless']
['蒼然']#[['そうぜん']]#1#['&adj-t;', '&adv-to;']#['blue', 'bluish', 'dim']
['毅然']#[['きぜん']]#1#['&adj-t;', '&adv-to;']#['resolute', 'firm', 'dauntless', 'undaunted']
['陸離']#[['りくり']]#1#['&adj-t;', '&adv-to;']#['dazzling', 'brilliant']
['孤影悄然']#[['こえいしょうぜん']]#1#['&adj-t;', '&adv-to;']#['alone and dejected', 'lonely and downhearted', 'lonely and crestfallen']
['欣然']#[['きんぜん']]#1#['&adj-t;', '&adv-to;']#['joyful', 'cheerful']
['颯々']#[['さっさつ']]#1#['&adj-t;', '&adv-to;']#['rustling (of wind)', 'murmuring', 'whistling', 'soughing']
['渥然']#[['あくぜん']]#1#['&adj-t;', '&adv-to;']#['glossy']
['郁郁']#[['いくいく']]#1#['&adj-t;', '&adv-to;']#['flourishing', 'teeming with culture', 'aromatic', 'emitting an aroma']
['尭尭']#[['ぎょうぎょう']]#1#['&adj-t;', '&adv-to;']#['high (as of a mountain)']
['光彩陸離']#[['こうさいりくり']]#1#['&adj-t;', '&adv-to;']#['dazzling', 'brilliant']
['晃朗']#[['こうろう']]#1#['&adj-t;', '&adv-to;']#['bright and brilliant']
['昭昭']#[['しょうしょう']]#1#['&adj-t;', '&adv-to;']#['clear', 'bright', 'plain', 'obvious']
['昭然']#[['しょうぜん']]#1#['&adj-t;', '&adv-to;']#['manifest', 'clear', 'evident', 'obvious']
['醇乎']#[['じゅんこ']]#1#['&adj-t;', '&adv-to;']#['pure', 'sheer']
['斐然']#[['ひぜん']]#1#['&adj-t;', '&adv-to;']#['beautiful', 'florid']
['馥郁']#[['ふくいく']]#1#['&adj-t;', '&adv-to;']#['fragrant', 'sweet-smelling']
['茫漠']#[['ぼうばく']]#1#['&adj-t;', '&adv-to;']#['vast', 'boundless']
['亮然']#[['りょうぜん']]#1#['&adj-t;', '&adv-to;']#['clear', 'obvious']
['玲々']#[['れいれい']]#1#['&adj-t;', '&adv-to;']#['tinkling (jewels, metal, etc.)']
['英姿颯爽']#[['えいしさっそう']]#1#['&adj-t;', '&adv-to;']#['cutting a fine (dashing, gallant, noble) figure']
['往事渺茫']#[['おうじびょうぼう']]#1#['&adj-t;', '&adv-to;']#['memories of the past events (being, becoming) far and distant']
['往事茫々']#[['おうじぼうぼう']]#1#['&adj-t;', '&adv-to;']#['memories of the past events (being, becoming) far and distant']
['眼光炯々']#[['がんこうけいけい']]#1#['&adj-t;', '&adv-to;']#['with shining, piercing eyes']
['興味索然']#[['きょうみさくぜん']]#1#['&adj-t;', '&adv-to;']#['uninteresting', 'tending to spoil the fun (pleasure) (of)', 'throwing a wet blanket (on)']
['鮮血淋漓']#[['せんけつりんり']]#1#['&adj-t;', '&adv-to;']#['dripping with fresh blood']
['俗臭芬々']#[['ぞくしゅうふんぷん']]#1#['&adj-t;', '&adv-to;']#['of low taste (vulgar)', 'lacking class']
['杯盤狼藉']#[['はいばんろうぜき']]#1#['&adj-t;', '&adv-to;']#['glasses and plates being scattered about after a party or banquet', 'articles lying about in a jumble']
['暮色蒼然']#[['ぼしょくそうぜん']]#1#['&adj-t;', '&adv-to;']#['dusky', 'somber light of a gathering dusk']
['墨痕淋漓']#[['ぼっこんりんり']]#1#['&adj-t;', '&adv-to;']#['dripping ink marks', 'a work of calligraphy being written in bold and vivid strokes']
['面目躍如']#[['めんもくやくじょ'], ['めんぼくやくじょ']]#1#['&adj-t;', '&adv-to;']#[\"demonstrative of one's worth\", \"worthy of one's reputation\", \"living up to one's name\", 'characteristically masterful']
['悠々閑々']#[['ゆうゆうかんかん']]#1#['&adj-t;', '&adv-to;']#['composed and unhurried', 'easygoing and leisurely', 'in indolence']
['鬼哭啾々']#[['きこくしゅうしゅう']]#1#['&adj-t;', '&adv-to;']#['spine-chilling (hair-raising) (like the wailing and weeping of a restless ghost)']
['気骨稜々']#[['きこつりょうりょう']]#1#['&adj-t;', '&adv-to;']#['(a person with) strong moral fiber (backbone, determination)']
['旗鼓堂々']#[['きこどうどう']]#1#['&adj-t;', '&adv-to;']#['with colors flying and band playing', 'triumphantly', 'in splendid array']
['俗気芬々']#[['ぞくけふんぷん']]#1#['&adj-t;', '&adv-to;']#['of low (vulgar) taste', 'lacking class']
['雄気堂々']#[['ゆうきどうどう']]#1#['&adj-t;', '&adv-to;']#['with heroic drive and boundless energy']
['威風凛々']#[['いふうりんりん']]#1#['&adj-t;', '&adv-to;']#['awe-inspiring', 'majestic', 'commanding', 'stately', 'with an imposing air', 'in a stately (dignified) manner']
['山岳重畳']#[['さんがくちょうじょう']]#1#['&adj-t;', '&adv-to;']#['mountains rising one above another']
['従容自若']#[['しょうようじじゃく']]#1#['&adj-t;', '&adv-to;']#['having presence of mind', 'imperturbable', 'calm and self-possessed', 'with serenity']
['神韻縹渺']#[['しんいんひょうびょう']]#1#['&adj-t;', '&adv-to;']#['(a work of art being) sublime', 'transcendent']
['秩序整然']#[['ちつじょせいぜん']]#1#['&adj-t;', '&adv-to;']#['in good (perfect) order', 'in apple-pie order']
['得意淡然']#[['とくいたんぜん']]#1#['&adj-t;', '&adv-to;']#[\"not letting oneself puffed up by one's success\", 'maintaining a serene state of mind when one has achieved a great success']
['満場騒然']#[['まんじょうそうぜん']]#1#['&adj-t;', '&adv-to;']#['the whole house (assembly, audience) being in uproar']
['陰々']#[['いんいん']]#1#['&adj-t;', '&adv-to;']#['dark and desolate', 'forlorn']
['失意泰然']#[['しついたいぜん']]#1#['&adj-t;', '&adv-to;']#['keeping calm and collected at times of disappointment', 'maintaining a serene state of mind in adversity']
['頑然']#[['がんぜん']]#1#['&adj-t;', '&adv-to;']#['resolute', 'obstinate', 'stubborn']
['欣々然']#[['きんきんぜん']]#1#['&adj-t;', '&adv-to;']#['joyful', 'delighted', 'cheerful', 'happy']
['皓然']#[['こうぜん']]#1#['&adj-t;', '&adv-to;']#['shining brightly', 'shining whitely']
['豪然']#[['ごうぜん']]#1#['&adj-t;', '&adv-to;']#['full of strength', 'haughty', 'pompous']
['繽紛']#[['ひんぷん']]#1#['&adj-t;', '&adv-to;']#['jumbled', 'in disarray']
['闃寂']#[['げきせき'], ['げきじゃく']]#1#['&adj-t;', '&adv-to;']#['silent and still', 'desolate']
['営々黙々']#[['えいえいもくもく']]#1#['&adj-t;', '&adv-to;']#['quietly and assiduously']
['緩り']#[['ゆるり']]#1#['&adv-to;']#['unhurriedly', 'leisurely', 'slowly', 'relaxedly', \"taking one's time\"]
['愚痴愚痴']#[['ぐちぐち'], ['グチグチ']]#1#['&adv;', '&adv-to;']#['mumbling', 'muttering']
['風に柳']#[['かぜにやなぎ']]#1#['&exp;', '&adv-to;']#['without making waves', 'softly', {'_': '(like) a willow in the wind', '$': {'g_type': 'lit'}}]
['燦']#[['さん']]#1#['&adj-t;', '&adv-to;']#['brilliant', 'resplendent']
['皓々']#[['こうこう'], ['きょうきょう']]#1#['&adj-t;', '&adv-to;']#['bright (esp. of the moon)']
['ひっそり閑']#[['ひっそりかん']]#1#['&adv;', '&adv-to;']#['quietly']
['綺麗さっぱり']#[['きれいさっぱり']]#1#['&adv;', '&adv-to;', '&vs;', '&adj-na;']#['once and for all', 'completely']
['乱離']#[['らんり']]#1#['&adj-t;', '&adv-to;', '&adj-no;']#['dispersed (of citizens in a war-torn country, etc.)']
['寂々']#[['せきせき'], ['じゃくじゃく'], ['さびさび']]#1#['&adj-t;', '&adv-to;']#['sad', 'lonesome', 'desolate']
['鞠躬如']#[['きっきゅうじょ'], ['きくきゅうじょ']]#1#['&adj-t;', '&adv-to;']#['deferential', 'humble', 'reverent', 'respectful']
['荒漠']#[['こうばく']]#1#['&adj-t;', '&adv-to;']#['desolate (e.g. plains)', 'ruined']
['蝶よ花よ']#[['ちょうよはなよ']]#1#['&exp;', '&adv-to;']#[\"bringing up (one's daughter) like a princess\"]
['錯落']#[['さくらく']]#1#['&adj-t;', '&adv-to;', '&vs;']#['mixed', 'mingled']
['嵯峨']#[['さが']]#1#['&adj-t;', '&adv-to;']#['precipitous']
['唯々']#[['いい']]#1#['&adj-t;', '&adv-to;']#['obedient', 'submissive', 'tame', 'slavish']
['哀々']#[['あいあい']]#1#['&adj-t;', '&adv-to;']#['deeply sad']
['蒼古']#[['そうこ']]#1#['&adj-t;', '&adv-to;']#['old-fashioned and tasteful']
['筋肉隆々']#[['きんにくりゅうりゅう']]#1#['&adj-t;', '&adv-to;', '&adj-no;']#['muscular']
['運勢隆々']#[['うんせいりゅうりゅう']]#1#['&adj-t;', '&adv-to;']#[\"one's prosperity being on the rise\", \"one's fortune reaching its culmination\"]
['諄々']#[['じゅんじゅん']]#1#['&adj-t;', '&adv-to;']#['earnestly', 'repeatedly', 'patiently']
['惨']#[['さん']]#1#['&adj-t;', '&adv-to;']#['appalling']
['我利我利']#[['がりがり'], ['ガリガリ']]#1#['&adv;', '&adv-to;']#['focusing on only one thing', 'obsessively', 'intensely']
['愚図ら愚図ら']#[['ぐずらぐずら']]#1#['&adv;', '&adv-to;']#['very slowly', 'sluggishly']
['淡然']#[['たんぜん']]#1#['&adj-t;', '&adv-to;']#['plain', 'indifferent', 'quiet']
['雄心勃々']#[['ゆうしんぼつぼつ']]#1#['&adj-t;', '&adv-to;']#['aspiring', 'ambitious']
['粛']#[['しゅく']]#1#['&adj-t;', '&adv-to;']#['solemn', 'respectful', 'reverent']
['漠']#[['ばく']]#1#['&adj-t;', '&adv-to;']#['vague', 'obscure']
['委蛇']#[['いい'], ['いだ']]#1#['&adj-t;', '&adv-to;']#['winding', 'meandering']
['卓然']#[['たくぜん']]#1#['&adj-t;', '&adv-to;']#['outstanding', 'brilliant', 'superb', 'excellent']
['蒼々']#[['そうそう']]#1#['&adj-t;', '&adv-to;']#['blue (sky, ocean, etc.)']
['麗々']#[['れいれい']]#1#['&adj-t;', '&adv-to;']#['ostentatious', 'gaudy', 'showy']
