Kanji#Reading#JLPT#Type#Meaning
['いじり回す']#[['いじりまわす']]#4#['&v5s;']#['to tinker with', 'to fumble with', 'to twist up']
['厭悪']#[['えんお']]#4#['&n;', '&vs;']#['dislike', 'detestation']
['遠ざかる']#[['とおざかる']]#4#['&v5r;', '&vi;']#['to go away', 'to become more distant', 'to fade away', 'to die away']
['遠ざける']#[['とおざける']]#4#['&v1;', '&vt;']#['to keep away', 'to keep at a distance']
['遠見']#[['えんけん'], ['とおみ']]#4#['&n;', '&vs;']#['looking into distance', 'watchtower', 'distant view']
['遠出']#[['とおで']]#4#['&n;', '&vs;']#['trip', 'excursion', 'outing']
['遠乗り']#[['とおのり']]#4#['&n;', '&vs;']#['long ride']
['遠足']#[['えんそく']]#4#['&n;', '&vs;']#['excursion', 'outing', 'trip']
['遠のく']#[['とおのく']]#4#['&v5k;', '&vi;']#['to become distant', 'to recede']
['遠のける']#[['とおのける']]#4#['&v1;', '&vt;']#['to keep (someone) at a distance']
['遠吠え']#[['とおぼえ']]#4#['&n;', '&vs;']#['(distant) howling']
['音を立てる']#[['おとをたてる']]#4#['&exp;', '&v1;']#['to make a sound']
['音読']#[['おんどく']]#4#['&n;', '&vs;']#['reading aloud']
['音読み']#[['おんよみ']]#4#['&n;', '&vs;']#['on reading', \"on'yomi\", {'_': 'Chinese-derived reading of a kanji', '$': {'g_type': 'expl'}}]
['下回る']#[['したまわる']]#4#['&v5r;', '&vt;']#['to fall below (esp. figures: profits, unemployment rate, etc.)', 'to be less than', 'to be lower than', 'to fall just short of', 'to be just under']
['下乗']#[['げじょう']]#4#['&n;', '&vs;']#['dismounting']
['下問']#[['かもん']]#4#['&n;', '&vs;']#['enquiry', 'inquiry', 'consultation']
['下野']#[['げや']]#4#['&n;', '&vs;']#['retirement from public office']
['家出']#[['いえで']]#4#['&n;', '&vs;']#['running away from home', 'elopement']
['歌い合う']#[['うたいあう']]#4#['&v5u;']#['to sing responsively']
['歌い上げる']#[['うたいあげる']]#4#['&v1;', '&vt;']#[\"to sing at the top of one's voice\", 'to belt out a song']
['画する']#[['かくする']]#4#['&vs-s;', '&vt;']#['to draw (a line)']
['臥し転ぶ']#[['ふしまろぶ']]#4#['&v5b;', '&vi;']#['to fall and roll over', 'wriggle about']
['会合']#[['かいごう']]#4#['&n;', '&vs;']#['meeting', 'assembly', 'gathering']
['会集']#[['かいしゅう']]#4#['&n;', '&vs;']#['audience', 'assembly', 'meeting']
['会心']#[['かいしん']]#4#['&n;', '&vs;', '&adj-no;']#['congeniality', 'satisfaction', 'gratification']
['会同']#[['かいどう']]#4#['&n;', '&vs;']#['assembly', 'meeting']
['回す']#[['まわす']]#4#['&v5s;', '&vt;']#['to turn', 'to rotate', 'to spin', 'to twist', 'to gyrate']
['回り道']#[['まわりみち']]#4#['&n;', '&vs;']#['detour', 'diversion']
['回れ右']#[['まわれみぎ']]#4#['&n;', '&vs;']#['right about-face']
['回帰']#[['かいき']]#4#['&n;', '&vs;']#['return (to)', 'revolution', 'recurrence']
['回心']#[['かいしん'], ['えしん']]#4#['&n;', '&vs;']#['conversion']
['回生']#[['かいせい']]#4#['&n;', '&vs;']#['resurrection', 'resuscitation', 'regeneration']
['回送']#[['かいそう']]#4#['&n;', '&vs;']#['forwarding', 'sending on', 'redirecting (e.g. mail)']
['回転']#[['かいてん']]#4#['&n;', '&vs;']#['rotation (usu. around something)', 'revolution', 'turning']
['回答']#[['かいとう']]#4#['&n;', '&vs;']#['reply', 'answer']
['海食']#[['かいしょく']]#4#['&n;', '&vs;']#['marine erosion']
['開く']#[['ひらく']]#4#['&v5k;', '&vi;', '&vt;']#['to open', 'to undo', 'to unseal', 'to unpack']
['開ける']#[['あける']]#4#['&v1;', '&vt;']#['to open (a door, etc.)', 'to unwrap (e.g. parcel, package)', 'to unlock']
['開ける']#[['ひらける']]#4#['&v1;', '&vi;']#['to open out (of a view, scenery, etc.)', 'to spread out', 'to become clear (of a road, visibility, etc.)', 'to open up']
['開院']#[['かいいん']]#4#['&n;', '&vs;']#['opening a new hospital, institution, temple, etc.']
['開花']#[['かいか']]#4#['&n;', '&vs;']#['flowers budding', 'blooming', 'flowering']
['開会']#[['かいかい']]#4#['&n;', '&vs;']#['opening of a meeting']
['開館']#[['かいかん']]#4#['&n;', '&vs;']#[\"opening (for that day's business; of a library, museum, cinema, etc.)\"]
['開業']#[['かいぎょう']]#4#['&n;', '&vs;']#['opening a business', 'opening a practice']
['開口']#[['かいこう']]#4#['&n;', '&vs;']#['opening', 'aperture (e.g. camera)']
['開校']#[['かいこう']]#4#['&n;', '&vs;']#['opening a school']
['開山']#[['かいさん']]#4#['&n;', '&vs;']#['founding a temple (on a hill-top)']
['開始']#[['かいし']]#4#['&n;', '&vs;']#['start', 'commencement', 'beginning', 'initiation']
['開場']#[['かいじょう']]#4#['&n;', '&vs;']#['opening (the doors to an event, etc.)']
['開通']#[['かいつう']]#4#['&n;', '&vs;']#['opening (of a new road, railway, etc.)', 'going into operation (e.g. telephone communication)', 'beginning services']
['開店']#[['かいてん']]#4#['&n;', '&vs;']#['opening a new shop']
['開門']#[['かいもん']]#4#['&n;', '&vs;']#['opening gate']
['開立']#[['かいりゅう']]#4#['&n;', '&vs;']#['extraction of cubic root']
['外注']#[['がいちゅう']]#4#['&n;', '&vs;']#['outside order', 'outsourcing', 'custom (manufacture)']
['外用']#[['がいよう']]#4#['&n;', '&vs;', '&adj-no;']#['external use']
['学習']#[['がくしゅう']]#4#['&n;', '&vs;']#['study', 'learning', 'tutorial']
['学問']#[['がくもん']]#4#['&n;', '&vs;']#['study', 'scholarship', 'learning', 'education', 'knowledge']
['楽しみにする']#[['たのしみにする']]#4#['&exp;', '&vs-i;']#['to look forward to something']
['楽しむ']#[['たのしむ']]#4#['&v5m;']#['to enjoy (oneself)']
['噛み合う']#[['かみあう']]#4#['&v5u;', '&vi;']#['to engage (with)', 'to be in gear (with)', 'to mesh']
['かみ合わせる']#[['かみあわせる']]#4#['&v1;']#['to clench (teeth)', 'to engage (gears)']
['噛み切る']#[['かみきる']]#4#['&v5r;', '&vt;']#['to bite off', 'to gnaw through']
['寒がる']#[['さむがる']]#4#['&v5r;', '&vi;']#['to be bothered by coldness', 'to complain about the cold']
['間に合う']#[['まにあう']]#4#['&v5u;', '&vi;']#['to be in time (for)']
['間借り']#[['まがり']]#4#['&n;', '&vs;']#['renting a room']
['間貸し']#[['まがし']]#4#['&n;', '&vs;']#['renting a room']
['贋作']#[['がんさく']]#4#['&n;', '&vs;']#['fake (work)', 'counterfeit']
['顔をしかめる']#[['かおをしかめる']]#4#['&exp;', '&v1;']#['to grimace', 'to frown']
['顔を潰す']#[['かおをつぶす']]#4#['&exp;', '&v5s;']#['to make somebody lose face', 'to embarrass someone', 'to make someone look foolish']
['顔を合わせる']#[['かおをあわせる']]#4#['&exp;', '&v1;']#['to meet', 'to face someone']
['顔を立てる']#[['かおをたてる']]#4#['&exp;', '&v1;']#['to save face', 'to show deference', 'to make someone look good']
['帰す']#[['かえす']]#4#['&v5s;', '&vt;']#['to send (someone) back', 'to send (someone) home']
['帰る']#[['かえる']]#4#['&v5r;', '&vi;']#['to return', 'to come home', 'to go home', 'to go back']
['帰京']#[['ききょう']]#4#['&n;', '&vs;']#[\"returning to (one's home in) Tokyo\"]
['帰国']#[['きこく']]#4#['&n;', '&vs;']#[\"return to one's country\"]
['帰社']#[['きしゃ']]#4#['&n;', '&vs;']#['return to office']
['帰着']#[['きちゃく']]#4#['&n;', '&vs;']#['return', 'conclusion']
['気が合う']#[['きがあう']]#4#['&exp;', '&v5u;']#['to get along (with someone)', 'to be like-minded', 'to be congenial']
['気を悪くする']#[['きをわるくする']]#4#['&exp;', '&vs-i;']#['to take offense (at)', 'to take offence (at)', 'to feel hurt (by)']
['起きる']#[['おきる']]#4#['&v1;', '&vi;']#['to get up', 'to rise', 'to blaze up (fire)']
['起き上がる']#[['おきあがる']]#4#['&v5r;', '&vi;']#['to rise', 'to erect', 'to get up']
['起こす']#[['おこす']]#4#['&v5s;', '&vt;']#['to raise', 'to raise up', 'to set up', 'to pick up']
['起こる']#[['おこる']]#4#['&v5r;', '&vi;']#['to occur', 'to happen']
['起つ']#[['たつ']]#4#['&v5t;', '&vi;']#['to rise up', 'to initiate (political) action']
['起臥']#[['きが']]#4#['&n;', '&vs;']#['daily life', 'daily living', 'waking up and going to sleep']
['起業']#[['きぎょう']]#4#['&n;', '&vs;']#['starting a business', 'promotion of enterprise']
['起工']#[['きこう']]#4#['&n;', '&vs;']#['setting to work']
['起電']#[['きでん']]#4#['&n;', '&vs;']#['generation of electricity']
['起動']#[['きどう']]#4#['&n;', '&vs;']#['startup', 'booting up', 'activation', 'starting (e.g. engine, computer)', 'launch']
['起用']#[['きよう']]#4#['&n;', '&vs;']#['appointment (to a position, job, etc.)', 'being used for a role', 'promotion']
['起立']#[['きりつ']]#4#['&n;', '&vs;']#['standing up']
['休意']#[['きゅうい']]#4#['&n;', '&vs;']#['peace', 'tranquility', 'tranquillity']
['休業']#[['きゅうぎょう']]#4#['&n;', '&vs;']#['suspension of business', 'temporary closure (of a store, school, etc.)', 'shutdown', 'holiday']
['休止']#[['きゅうし']]#4#['&n;', '&vs;']#['pause', 'suspension', 'rest', 'stoppage']
['休場']#[['きゅうじょう']]#4#['&n;', '&vs;']#['(temporary) closure of a theater (theatre)', 'stage absence']
['急かす']#[['せかす']]#4#['&v5s;', '&vt;']#['to hurry (up)', 'to urge on', 'to press', 'to rush']
['急きたてられる']#[['せきたてられる']]#4#['&v1;']#['to be hurried', 'to be hastened', 'to be hard pressed']
['急き立てる']#[['せきたてる']]#4#['&v1;', '&vt;']#['to hurry (up)', 'to press', 'to urge on']
['急ぐ']#[['いそぐ']]#4#['&v5g;', '&vi;', '&vt;']#['to hurry', 'to rush', 'to hasten', 'to make something happen sooner']
['急行']#[['きゅうこう']]#4#['&n;', '&vs;', '&adj-no;']#['hurrying (to somewhere)', 'rushing', 'hastening']
['急死']#[['きゅうし']]#4#['&n;', '&vs;']#['sudden death']
['急進']#[['きゅうしん']]#4#['&n;', '&vs;']#['rapid progress', 'radical']
['急送']#[['きゅうそう']]#4#['&n;', '&vs;']#['dispatch', 'despatch']
['究明']#[['きゅうめい']]#4#['&n;', '&vs;']#['investigation (esp. in academic and scientific contexts)']
['牛耳る']#[['ぎゅうじる']]#4#['&v5r;', '&vt;']#['to control', 'to take the lead in', \"to have under one's thumb\"]
['去る']#[['さる']]#4#['&v5r;', '&vi;']#['to leave', 'to go away']
['去来']#[['きょらい']]#4#['&n;', '&vs;']#['coming and going', 'recurring (esp. thoughts)']
['強いる']#[['しいる']]#4#['&v1;', '&vt;']#['to force', 'to compel', 'to coerce', 'to press', 'to impose']
['強まる']#[['つよまる']]#4#['&v5r;', '&vi;']#['to get strong', 'to gain strength']
['強める']#[['つよめる']]#4#['&v1;', '&vt;']#['to strengthen', 'to emphasize', 'to emphasise']
['強姦']#[['ごうかん']]#4#['&n;', '&vs;']#['rape', 'sexual assault']
['強行']#[['きょうこう']]#4#['&n;', '&vs;']#['forcing', 'enforcement']
['教える']#[['おしえる']]#4#['&v1;', '&vt;']#['to teach', 'to instruct']
['教わる']#[['おそわる']]#4#['&v5r;', '&vt;']#['to be taught', 'to learn', 'to take lessons in']
['教習']#[['きょうしゅう']]#4#['&n;', '&vs;']#['training', 'instruction']
['近づく']#[['ちかづく'], ['ちかずく']]#4#['&v5k;', '&vi;']#['to approach', 'to draw near', 'to get close']
['近づける']#[['ちかづける']]#4#['&v1;', '&vt;']#['to bring near', 'to bring close', 'to let go near']
['金貸し']#[['かねかし']]#4#['&n;', '&vs;']#['moneylending']
['倶発']#[['ぐはつ']]#4#['&n;', '&vs;']#['concurrence']
['区分']#[['くぶん']]#4#['&n;', '&vs;', '&adj-no;']#['division', 'section', 'demarcation', 'partition', 'segmentation', 'subdivision', '(traffic) lane', 'compartment', 'classification', 'sorting']
['区分け']#[['くわけ']]#4#['&n;', '&vs;']#['division', 'section', 'demarcation', '(traffic) lane', 'compartment', 'classification', 'sorting']
['区別']#[['くべつ']]#4#['&n;', '&vs;']#['distinction', 'differentiation', 'classification']
['空に帰する']#[['くうにきする']]#4#['&exp;', '&vs-i;']#['to come to naught', 'to come to nought']
['空転']#[['くうてん']]#4#['&n;', '&vs;']#['racing (an engine)', 'idling (an engine)']
['兄妹喧嘩']#[['きょうだいげんか']]#4#['&n;', '&vs;']#['quarrel between siblings']
['計らう']#[['はからう']]#4#['&v5u;', '&vt;']#['to manage', 'to arrange', 'to talk over', 'to dispose of']
['計画']#[['けいかく']]#4#['&n;', '&vs;']#['plan', 'project', 'schedule', 'scheme', 'program', 'programme']
['計上']#[['けいじょう']]#4#['&n;', '&vs;']#[\"including a sum of money in one's calculations\"]
['軽んじる']#[['かろんじる']]#4#['&v1;', '&vt;']#['to look down on', 'to make light of']
['軽蔑']#[['けいべつ']]#4#['&n;', '&vs;']#['scorn', 'disdain', 'contempt']
['建てる']#[['たてる']]#4#['&v1;', '&vt;']#['to build', 'to construct']
['建て回す']#[['たてまわす']]#4#['&v5s;']#['to build around']
['建国']#[['けんこく']]#4#['&n;', '&vs;']#['founding of a nation']
['建白']#[['けんぱく']]#4#['&n;', '&vs;']#['petition', 'memorial']
['建立']#[['こんりゅう'], ['けんりつ']]#4#['&n;', '&vs;']#['(act of) building (temple, monument, etc.)', 'erection']
['牽引']#[['けんいん'], ['けんびき']]#4#['&n;', '&vs;']#['traction', 'towing', 'hauling', 'pulling', 'drawing']
['牽強']#[['けんきょう']]#4#['&n;', '&vs;']#['distortion of facts']
['研学']#[['けんがく']]#4#['&n;', '&vs;']#['study']
['研究']#[['けんきゅう']]#4#['&n;', '&vs;']#['study', 'research', 'investigation']
['研鑽']#[['けんさん']]#4#['&n;', '&vs;']#['diligent study', \"devoting oneself to one's studies\"]
['見回す']#[['みまわす']]#4#['&v5s;', '&vt;']#['to look around', 'to survey']
['見開く']#[['みひらく']]#4#['&v5k;', '&vt;']#[\"to open one's eyes wide\"]
['見計らう']#[['みはからう']]#4#['&v5u;', '&vt;']#[\"to choose at one's own discretion\"]
['見合い']#[['みあい']]#4#['&n;', '&vs;']#['formal marriage interview', 'marriage meeting']
['お見合い']#[['おみあい']]#4#['&n;', '&vs;']#['formal marriage interview']
['見合う']#[['みあう']]#4#['&v5u;']#['to exchange glances']
['見合わせる']#[['みあわせる']]#4#['&v1;', '&vt;']#['to exchange glances', 'to look at each other']
['見習う']#[['みならう']]#4#['&v5u;', '&vt;']#[\"to follow another's example\"]
['見送る']#[['みおくる']]#4#['&v5r;', '&vt;']#['to see someone off (at a station, an airport, etc.)', 'to escort (e.g. home)']
['見通す']#[['みとおす']]#4#['&v5s;', '&vt;']#['to see without obstruction', 'to see through']
['見物']#[['けんぶつ']]#4#['&n;', '&vs;']#['sightseeing', 'watching', 'viewing']
['元気づける']#[['げんきづける']]#4#['&v1;', '&vt;']#['to pep up', 'to cheer up']
['言い開く']#[['いいひらく']]#4#['&v5k;', '&vt;']#['to justify', 'to explain', 'to vindicate']
['言い習わす']#[['いいならわす']]#4#['&v5s;', '&vt;']#['to say as a tradition', 'to customarily say']
['言い切る']#[['いいきる']]#4#['&v5r;', '&vt;']#['to declare', 'to assert', 'to state definitively']
['言い送る']#[['いいおくる']]#4#['&v5r;', '&vt;']#['to send a message', 'to write to']
['言説']#[['げんせつ']]#4#['&n;', '&vs;']#['remark', 'statement', 'discourse']
['言明']#[['げんめい']]#4#['&n;', '&vs;']#['declaration', 'statement', 'assertion']
['後発']#[['こうはつ']]#4#['&n;', '&vs;', '&adj-no;']#['starting late', 'late departure']
['語り合う']#[['かたりあう']]#4#['&v5u;', '&vt;']#['to talk together']
['語り明かす']#[['かたりあかす']]#4#['&v5s;', '&vt;']#['to talk the night away', 'to talk all night']
['光る']#[['ひかる']]#4#['&v5r;', '&vi;']#['to shine', 'to glitter', 'to be bright']
['勾引']#[['こういん']]#4#['&n;', '&vs;']#['arrest', 'custody', 'seduction', 'abduction']
['口火を切る']#[['くちびをきる']]#4#['&exp;', '&v5r;']#['to start the debate', 'to get the ball rolling', 'to fire the first shot', 'to start a conversation']
['口止め']#[['くちどめ']]#4#['&n;', '&vs;']#['forbidding to speak', 'muzzling (a person)', 'bribing into secrecy']
['口説く']#[['くどく']]#4#['&v5k;', '&vt;']#['to persuade', 'to coax', 'to solicit']
['口走る']#[['くちばしる']]#4#['&v5r;', '&vt;']#['to blurt out', 'to let slip', 'to say inadvertently', 'to come out with (e.g. nonsense)']
['口答え']#[['くちごたえ']]#4#['&n;', '&vs;']#['retort', 'back talk', 'backchat']
['好く']#[['すく']]#4#['&v5k;', '&vt;']#['to like', 'to love', 'to be fond of']
['好む']#[['このむ']]#4#['&v5m;', '&vt;']#['to like', 'to prefer']
['好転']#[['こうてん']]#4#['&n;', '&vs;']#['changing for the better']
['工作']#[['こうさく']]#4#['&n;', '&vs;']#['handicraft']
['工事']#[['こうじ']]#4#['&n;', '&vs;']#['construction work']
['広まる']#[['ひろまる']]#4#['&v5r;', '&vi;']#['to spread', 'to be propagated']
['広める']#[['ひろめる']]#4#['&v1;', '&vt;']#['to spread', 'to propagate', 'to popularize', 'to disseminate']
['校正']#[['こうせい']]#4#['&n;', '&vs;']#['proofreading', 'correction of press']
['考える']#[['かんがえる']]#4#['&v1;', '&vt;']#['to think (about, of)', 'to think over', 'to ponder', 'to contemplate', 'to reflect (on)', 'to meditate (on)']
['考え出す']#[['かんがえだす']]#4#['&v5s;', '&vt;']#['to think out', 'to devise', 'to invent', 'to begin to think', 'to come up with a plan']
['行き合わせる']#[['いきあわせる'], ['ゆきあわせる']]#4#['&v1;', '&vi;']#['to happen upon (someone or something)', 'to happen to meet']
['行き着く']#[['いきつく'], ['ゆきつく']]#4#['&v5k;', '&vi;']#[\"to arrive (at one's destination)\", 'to reach']
['行使']#[['こうし']]#4#['&n;', '&vs;']#['use', \"exercise (of one's right, authority, power, etc.)\"]
['行進']#[['こうしん']]#4#['&n;', '&vs;']#['march', 'parade']
['行動']#[['こうどう']]#4#['&n;', '&vs;', '&adj-no;']#['action', 'conduct', 'behaviour', 'behavior', 'mobilization', 'mobilisation']
