Kanji#Reading#JLPT#Type#Meaning
['明白']#[['めいはく']]#4#['&adj-na;']#['obvious', 'clear', 'plain', 'evident', 'apparent', 'explicit', 'overt']
['運がいい']#[['うんがいい'], ['うんがよい']]#4#['&exp;', '&adj-ix;']#['lucky', 'fortunate']
['運が悪い']#[['うんがわるい']]#4#['&exp;', '&adj-i;']#['unlucky']
['運動不足']#[['うんどうぶそく']]#4#['&n;', '&adj-no;']#['lack of physical exercise', 'insufficient exercise', 'inactivity']
['映画']#[['えいが']]#4#['&n;', '&adj-no;']#['movie', 'film']
['円錐体']#[['えんすいたい']]#4#['&n;', '&adj-na;']#['cone']
['遠']#[['とお']]#4#['&adj-no;']#['distant']
['遠い']#[['とおい']]#4#['&adj-i;']#['far', 'distant', 'far away', 'a long way off', 'in the distance']
['遠方']#[['えんぽう'], ['おちかた']]#4#['&n;', '&adj-no;']#['long way', 'distant place']
['遠洋']#[['えんよう']]#4#['&n;', '&adj-no;']#['ocean', 'deep sea']
['遠来']#[['えんらい']]#4#['&n;', '&adj-no;']#['coming from far away']
['屋外']#[['おくがい']]#4#['&n;', '&adj-no;']#['outdoors', 'outside']
['音便']#[['おんびん']]#4#['&n;', '&adj-no;']#['euphony', 'euphonic change']
['下界']#[['げかい']]#4#['&n;', '&adj-no;']#['the world', 'the earth']
['下世話']#[['げせわ']]#4#['&n;', '&adj-na;']#['common saying', 'everyday talk', 'common parlance']
['下方']#[['かほう']]#4#['&n;', '&adj-no;']#['lower region', 'lower part', 'region below']
['何回も']#[['なんかいも']]#4#['&adv;', '&adj-no;']#['time and time again', 'many times', 'a number of times']
['火急']#[['かきゅう']]#4#['&n;', '&adj-no;', '&adj-na;']#['urgency', 'exigency', 'emergency']
['にわか仕立て']#[['にわかじたて']]#4#['&exp;', '&adj-no;']#['extemporary', 'improvised', 'extemporaneous']
['会計']#[['かいけい']]#4#['&n;', '&adj-no;', '&vs;']#['accounting', 'finance', 'account', 'reckoning']
['海運']#[['かいうん']]#4#['&n;', '&adj-no;']#['maritime', 'marine transportation']
['海外']#[['かいがい']]#4#['&n;', '&adj-no;']#['foreign', 'abroad', 'overseas']
['海事']#[['かいじ']]#4#['&n;', '&adj-no;']#['maritime affairs']
['海上']#[['かいじょう'], ['かいしょう']]#4#['&n;', '&adj-no;']#['on the sea', 'surface of the sea']
['海千山千']#[['うみせんやません']]#4#['&n;', '&adj-no;']#['sly old dog', 'old fox']
['海中']#[['かいちゅう']]#4#['&n;', '&adj-no;']#['in the sea']
['海洋']#[['かいよう']]#4#['&n;', '&adj-no;']#['ocean']
['海驢']#[['あしか'], ['みち'], ['アシカ']]#4#['&n;', '&adj-no;']#['eared seal (esp. the California sea lion, Zalophus californianus)', 'sea lion']
['開けたて']#[['あけたて']]#4#['&n;', '&adj-no;', '&vs;']#['opening and shutting']
['開発']#[['かいはつ'], ['かいほつ']]#4#['&n;', '&adj-no;', '&vs;']#['development', 'exploitation']
['かっこ悪い']#[['かっこわるい'], ['カッコわるい'], ['かっこうわるい']]#4#['&adj-i;']#['unattractive', 'ugly', 'unstylish', 'uncool']
['学者']#[['がくしゃ']]#4#['&n;', '&adj-no;']#['scholar']
['学習用']#[['がくしゅうよう']]#4#['&adj-no;']#['study (e.g. material)', 'learning', 'for studying']
['楽']#[['らく']]#4#['&n;', '&adj-na;']#['comfort', 'ease', 'relief', '(at) peace', 'relaxation']
['楽しい']#[['たのしい']]#4#['&adj-i;']#['enjoyable', 'fun', 'pleasant', 'happy', 'delightful']
['寒い']#[['さむい'], ['さぶい']]#4#['&adj-i;']#['cold (e.g. weather)']
['寒がり']#[['さむがり']]#4#['&n;', '&adj-no;', '&adj-na;']#['being sensitive to the cold', 'person who is sensitive to the cold']
['姦通']#[['かんつう']]#4#['&n;', '&adj-no;']#['adultery']
['気が重い']#[['きがおもい']]#4#['&exp;', '&adj-i;']#['depressed', 'bummed out', 'down', 'heavy-hearted', 'heavy-spirited', 'feeling reluctant (to do)']
['気が短い']#[['きがみじかい']]#4#['&exp;', '&adj-i;']#['quick-tempered', 'having little patience', 'impatient']
['気軽']#[['きがる']]#4#['&adj-na;']#['carefree', 'buoyant', 'lighthearted', 'sprightly']
['気持ちいい']#[['きもちいい'], ['きもちよい']]#4#['&exp;', '&adj-ix;']#['good feeling', 'feeling good']
['気乗り']#[['きのり']]#4#['&n;', '&adj-no;', '&vs;']#['interest (in something)', 'enthusiasm']
['起死回生']#[['きしかいせい']]#4#['&n;', '&adj-no;']#['revival from the brink of death', 'recovering from a hopeless situation', 'resuscitation', 'revitalization']
['急']#[['きゅう']]#4#['&adj-na;']#['sudden', 'abrupt', 'unexpected']
['急ぎ']#[['いそぎ']]#4#['&n;', '&adj-no;']#['haste', 'hurry', 'expedition', 'speed', 'dispatch']
['去痰']#[['きょたん']]#4#['&n;', '&adj-no;']#['expectoration']
['強い']#[['つよい']]#4#['&adj-i;']#['strong', 'potent', 'competent', 'domineering', 'tough']
['強意']#[['きょうい']]#4#['&n;', '&adj-no;']#['emphasis']
['強音']#[['きょうおん']]#4#['&n;', '&adj-no;']#['accent', 'stress']
['強気']#[['つよき']]#4#['&adj-na;', '&adj-no;', '&n;']#['confident', 'assured', 'self-assured', 'firm', 'strong', 'cocksure']
['教区']#[['きょうく']]#4#['&n;', '&adj-no;']#['parish']
['近い']#[['ちかい']]#4#['&adj-i;']#['near', 'close', 'short (distance)']
['近く']#[['ちかく']]#4#['&n;', '&adj-no;', '&adv;']#['near', 'neighbourhood', 'neighborhood', 'vicinity']
['近海']#[['きんかい']]#4#['&n;', '&adj-no;']#['coastal waters', 'adjacent seas']
['近所']#[['きんじょ']]#4#['&n;', '&adj-no;']#['neighbourhood', 'neighborhood']
['近親']#[['きんしん']]#4#['&n;', '&adj-no;']#['near relative']
['銀色']#[['ぎんいろ']]#4#['&n;', '&adj-no;']#['silver (color, colour)']
['空色']#[['そらいろ']]#4#['&n;', '&adj-no;']#['sky-blue']
['寓意']#[['ぐうい']]#4#['&n;', '&adj-no;']#['hidden meaning', 'symbolism', 'moral']
['計り知れない']#[['はかりしれない']]#4#['&exp;', '&adj-i;']#['unfathomable', 'inestimable', 'immeasurable']
['軽い']#[['かるい'], ['かろい']]#4#['&adj-i;']#['light (i.e. not heavy)', 'feeling light (i.e. offering little resistance, moving easily)']
['軽口']#[['かるくち']]#4#['&n;', '&adj-no;']#['talkative', 'loose-lipped', 'persiflage', 'frivolous talk']
['軽度']#[['けいど']]#4#['&adj-no;', '&adj-na;', '&n;']#['slight (degree)', 'light']
['きまり悪い']#[['きまりわるい']]#4#['&adj-i;']#['embarrassed', 'ashamed']
['強か']#[['したたか']]#4#['&adj-na;']#['tough', 'stubborn', 'determined', 'hard']
['見知らぬ']#[['みしらぬ']]#4#['&adj-pn;']#['strange', 'unfamiliar', 'unknown']
['古体']#[['こたい']]#4#['&n;', '&adj-no;']#['old custom', 'old style']
['古代']#[['こだい']]#4#['&n;', '&adj-no;']#['ancient times', 'distant past', 'antiquity']
['後の方']#[['あとのほう']]#4#['&adj-no;']#['later']
['後者']#[['こうしゃ']]#4#['&n;', '&adj-no;']#['the latter']
['後方']#[['こうほう']]#4#['&n;', '&adj-no;']#['behind', 'in the rear', 'in back']
['光電']#[['こうでん']]#4#['&adj-na;', '&adj-no;']#['photoelectric']
['口が悪い']#[['くちがわるい']]#4#['&exp;', '&adj-i;']#['sarcastic', 'having a sharp tongue', 'having a sharp nasty tongue']
['口が軽い']#[['くちがかるい']]#4#['&exp;', '&adj-i;']#['having a loose tongue', 'being talkative', 'speaking without thinking', 'being unable to keep a secret']
['口が重い']#[['くちがおもい']]#4#['&exp;', '&adj-i;']#['incommunicative', 'taciturn']
['口重い']#[['くちおもい']]#4#['&adj-i;']#['slow of speech', 'prudent']
['喉頭']#[['こうとう']]#4#['&adj-na;', '&adj-no;', '&n;']#['larynx']
['好ましい']#[['このましい']]#4#['&adj-i;']#['nice', 'likeable', 'desirable']
['好色']#[['こうしょく']]#4#['&n;', '&adj-na;', '&adj-no;']#['lasciviousness', 'lechery', 'salaciousness', 'lust', 'sensuality', 'lewdness']
['工事中']#[['こうじちゅう']]#4#['&adj-no;']#['under construction']
['広い']#[['ひろい']]#4#['&adj-i;']#['spacious', 'vast', 'wide']
['広東']#[['カントン']]#4#['&n;', '&adj-no;']#['Guangdong (China)', 'Kwangtung']
['考古学']#[['こうこがく']]#4#['&n;', '&adj-no;']#['archaeology', 'archeology']
['高台']#[['たかだい']]#4#['&n;', '&adj-no;']#['elevation', 'high ground']
['高地']#[['こうち']]#4#['&n;', '&adj-no;']#['high ground', 'plateau', 'heights']
['高品質']#[['こうひんしつ']]#4#['&n;', '&adj-na;', '&adj-no;']#['high quality']
['合間']#[['あいま']]#4#['&n;', '&adj-no;']#['interval', 'break', 'pause', 'spare moment']
['国産']#[['こくさん']]#4#['&adj-no;']#['domestic', 'domestically-produced', 'produced within a country']
['国事']#[['こくじ']]#4#['&n;', '&adj-no;']#['national affairs']
['国別']#[['くにべつ']]#4#['&n;', '&adj-no;']#['by country']
['国有']#[['こくゆう']]#4#['&n;', '&adj-no;']#['national ownership', 'state ownership', 'government ownership']
['黒い']#[['くろい']]#4#['&adj-i;']#['black']
['黒っぽい']#[['くろっぽい']]#4#['&adj-i;']#['dark', 'blackish']
['黒海']#[['こっかい']]#4#['&n;', '&adj-no;']#['Black Sea']
['黒色']#[['くろいろ'], ['こくしょく']]#4#['&n;', '&adj-no;']#['black (colour, color)']
['頃合']#[['ころあい']]#4#['&n;', '&adj-no;']#['suitable time', 'good time']
['今風']#[['いまふう']]#4#['&adj-no;', '&adj-na;', '&n;']#['modern', 'current', 'contemporary', 'trendy', 'latest', 'up-to-date']
['左回り']#[['ひだりまわり']]#4#['&n;', '&adj-no;']#['counterclockwise rotation', 'anti-clockwise rotation', 'CCW']
['作り物']#[['つくりもの']]#4#['&n;', '&adj-no;']#['artificial product', 'man-made product', 'imitation', 'fake', 'sham']
['三色']#[['さんしょく']]#4#['&n;', '&adj-no;']#['three colours', 'three colors']
['産業']#[['さんぎょう']]#4#['&n;', '&adj-no;']#['industry']
['産後']#[['さんご']]#4#['&n;', '&adj-no;', '&adv;']#['postpartum', 'after childbirth']
['仕事中']#[['しごとちゅう']]#4#['&adj-no;']#['at work', 'in the midst of work', 'working']
['仕切れない']#[['しきれない']]#4#['&adj-i;']#['impossible to do']
['仕方がない']#[['しかたがない']]#4#['&exp;', '&adj-i;']#[\"there's no (other) way\"]
['仕方のない']#[['しかたのない']]#4#['&exp;', '&adj-f;']#['cannot be helped', 'unavoidable', 'inevitable', \"(there's) nothing one can do\", 'having no choice']
['仕方ない']#[['しかたない']]#4#['&adj-i;']#[\"there's no (other) way\"]
['市外']#[['しがい']]#4#['&n;', '&adj-no;']#['outside the city area', 'suburbs']
['市長']#[['しちょう']]#4#['&n;', '&adj-no;']#['mayor']
['市有']#[['しゆう']]#4#['&n;', '&adj-no;']#['owned by the city']
['市立']#[['しりつ'], ['いちりつ']]#4#['&n;', '&adj-no;']#['municipal', 'city']
['思い切った']#[['おもいきった']]#4#['&exp;', '&adj-f;']#['bravely', 'drastic']
['思しい']#[['おぼしい']]#4#['&adj-i;']#['appears to be', 'apparently']
['私立']#[['しりつ'], ['わたくしりつ']]#4#['&n;', '&adj-no;']#['private (establishment)']
['事による']#[['ことによる']]#4#['&exp;', '&adj-f;', '&v5r;']#['depending on the circumstances']
['事後']#[['じご']]#4#['&adj-no;']#['after', 'post', 'ex-', 'after the fact', 'ex post']
['事前']#[['じぜん']]#4#['&adj-no;']#['prior', 'beforehand', 'in advance', 'before the fact', 'ex ante']
['持ちがよい']#[['もちがいい'], ['もちがよい']]#4#['&exp;', '&adj-ix;']#['long-lasting', 'durable', 'keeping well']
['持ち前']#[['もちまえ']]#4#['&n;', '&adj-no;']#[\"one's nature\", 'characteristic', 'inherent', 'natural']
['耳が遠い']#[['みみがとおい']]#4#['&exp;', '&adj-i;']#['poor hearing']
['自国']#[['じこく']]#4#['&n;', '&adj-no;']#[\"one's own country\"]
['自惚れ']#[['うぬぼれ']]#4#['&n;', '&adj-no;']#['pretension', 'conceit', 'hubris']
['自前']#[['じまえ']]#4#['&n;', '&adj-no;']#[\"paying one's own expenses\"]
['自明']#[['じめい']]#4#['&adj-na;', '&adj-no;', '&n;']#['self-evident', 'obvious', 'axiomatic', 'self-explanatory', 'trivial']
['自力']#[['じりき'], ['じりょく']]#4#['&n;', '&adj-no;']#[\"one's own strength\", \"one's own efforts\"]
['七重']#[['ななえ']]#4#['&n;', '&adj-no;']#['sevenfold', 'seven-ply']
['借り切り']#[['かりきり']]#4#['&n;', '&adj-no;']#['reserving (for exclusive use)', '(full) booking', 'chartering', 'block reservation']
['弱い']#[['よわい']]#4#['&adj-i;']#['weak', 'frail', 'delicate', 'tender', 'unskilled', 'weak (wine)']
['弱気']#[['よわき']]#4#['&adj-na;', '&adj-no;', '&n;']#['timid', 'weak-kneed', 'fainthearted']
['主たる']#[['しゅたる']]#4#['&adj-pn;']#['main', 'principal', 'chief', 'primary', 'major']
['主力']#[['しゅりょく']]#4#['&n;', '&adj-no;']#['main force', 'chief object', 'mainline']
['手回し']#[['てまわし']]#4#['&n;', '&adj-no;']#['turning by hand', 'hand-turned', 'hand-cranked']
['手強い']#[['てづよい']]#4#['&adj-i;']#['strong', 'resolute', 'firm', 'strict']
['手近']#[['てぢか'], ['てじか']]#4#['&adj-na;', '&adj-no;']#['near', 'close by', 'within reach', 'handy']
['手早い']#[['てばやい']]#4#['&adj-i;']#['nimble', 'quick', 'agile']
['手動']#[['しゅどう']]#4#['&n;', '&adj-no;']#['manual (operation)']
['首都']#[['しゅと']]#4#['&n;', '&adj-no;']#['capital city', 'metropolis']
['習わし']#[['ならわし']]#4#['&n;', '&adj-no;']#['custom', 'habit', 'customary practice']
['住みにくい']#[['すみにくい']]#4#['&adj-i;']#['inconvenient (residence)', 'unpleasant (surroundings)', 'difficult (to live in)']
['十重']#[['とえ']]#4#['&n;', '&adj-no;']#['tenfold']
['十進']#[['じっしん'], ['じゅっしん']]#4#['&adj-f;']#['decimal', 'denary']
['十文字']#[['じゅうもんじ']]#4#['&n;', '&adj-no;']#['cross', 'cruciform']
['重い']#[['おもい']]#4#['&adj-i;']#['heavy', 'weighty']
['重たい']#[['おもたい']]#4#['&adj-i;']#['heavy', 'weighty']
['重ね重ね']#[['かさねがさね']]#4#['&adv;', '&adj-no;']#['repeatedly', 'frequently', 'over and over', 'time and time again']
['重病']#[['じゅうびょう']]#4#['&n;', '&adj-no;']#['serious illness']
['重文']#[['じゅうぶん']]#4#['&n;', '&adj-no;']#['compound sentence', {'_': 'sentenced formed of two independent clauses', '$': {'g_type': 'expl'}}]
['出色']#[['しゅっしょく']]#4#['&adj-no;', '&adj-na;', '&n;']#['outstanding', 'excellent', 'remarkable']
['春風駘蕩']#[['しゅんぷうたいとう']]#4#['&adj-no;', '&adj-t;', '&adv-to;']#['warm and genial spring weather', 'genial and balmy']
['所謂']#[['いわゆる']]#4#['&adj-pn;']#['what is called', 'as it is called', 'the so-called', 'so to speak']
['暑い']#[['あつい']]#4#['&adj-i;']#['hot', 'warm', 'sultry', 'heated']
['暑がり']#[['あつがり']]#4#['&n;', '&adj-no;', '&adj-na;']#['being sensitive to the heat', 'person who is sensitive to the heat']
['小心']#[['しょうしん']]#4#['&n;', '&adj-na;']#['timidity', 'cowardice']
['小説']#[['しょうせつ']]#4#['&n;', '&adj-no;']#['novel', '(short) story']
['上質']#[['じょうしつ']]#4#['&adj-na;', '&adj-no;', '&n;']#['fine quality']
['上代']#[['じょうだい'], ['うわだい']]#4#['&n;', '&adj-no;']#['ancient times (e.g. Heian and Nara periods in Japan)', 'remote ages', 'early history']
['上品']#[['じょうひん']]#4#['&adj-na;']#['elegant', 'refined', 'polished', 'stylish', 'sophisticated']
['乗りにくい']#[['のりにくい']]#4#['&adj-i;']#['hard to ride']
['乗り気']#[['のりき']]#4#['&n;', '&adj-na;']#['interest', 'eagerness', 'enthusiasm']
['乗りいい']#[['のりいい'], ['のりよい']]#4#['&adj-ix;']#['easy to ride', 'riding well']
['乗合']#[['のりあい']]#4#['&n;', '&adj-no;']#['riding together', 'fellow passenger']
['色っぽい']#[['いろっぽい']]#4#['&adj-i;']#['amorous', 'sexy', 'voluptuous', 'erotic']
['色よい']#[['いろよい']]#4#['&adj-i;']#['favorable', 'favourable', 'friendly', 'encouraging']
['心強い']#[['こころづよい']]#4#['&adj-i;']#['heartening', 'reassuring']
['心地よい']#[['ここちよい'], ['ここちいい']]#4#['&exp;', '&adj-ix;']#['comfortable', 'pleasant']
['新着']#[['しんちゃく']]#4#['&n;', '&adj-no;', '&vs;']#['new arrivals', 'new acquisitions']
['新入社員']#[['しんにゅうしゃいん']]#4#['&n;', '&adj-no;']#['new employee', 'freshman employee', 'new hire']
['森林']#[['しんりん']]#4#['&n;', '&adj-no;']#['forest', 'woods']
['真']#[['しん']]#4#['&n;', '&adj-no;']#['truth', 'reality', 'genuineness']
['真一文字']#[['まいちもんじ']]#4#['&n;', '&adj-no;']#['straight', 'as the crow flies']
['真下']#[['ました']]#4#['&n;', '&adj-no;']#['right under', 'directly below']
['真上']#[['まうえ']]#4#['&n;', '&adj-no;']#['just above', 'right overhead']
['真心']#[['まごころ'], ['まこころ']]#4#['&n;', '&adj-no;']#['sincerity', 'true heart', 'devotion']
['真新しい']#[['まあたらしい']]#4#['&adj-i;']#['brand new']
['真水']#[['まみず']]#4#['&n;', '&adj-no;']#['fresh water']
['真正']#[['しんせい']]#4#['&adj-na;', '&adj-no;', '&n;']#['genuine', 'authentic', 'true', 'pure']
['真理']#[['しんり']]#4#['&n;', '&adj-no;']#['truth']
['親しい']#[['したしい']]#4#['&adj-i;']#['close (e.g. friend)', 'familiar', 'friendly', 'intimate']
['親しみやすい']#[['したしみやすい']]#4#['&adj-i;']#['friendly', 'easy to get on with', 'easy to talk to', 'easy to like']
['人工']#[['じんこう']]#4#['&n;', '&adj-no;']#['artificial', 'man-made', 'human work', 'human skill', 'artificiality']
['人手不足']#[['ひとでぶそく']]#4#['&n;', '&adj-no;']#['labour shortage', 'labor shortage', 'shortage of workers', 'shortage of hands']
['人知れぬ']#[['ひとしれぬ']]#4#['&adj-pn;']#['secret', 'hidden', 'unseen', 'inward']
['図太い']#[['ずぶとい']]#4#['&adj-i;']#['bold', 'shameless', 'cheeky', 'brash', 'impudent']
['水銀']#[['すいぎん']]#4#['&n;', '&adj-no;']#['mercury (Hg)']
['水色']#[['みずいろ']]#4#['&n;', '&adj-no;']#['light blue', 'pale blue', 'aqua']
['水力']#[['すいりょく']]#4#['&n;', '&adj-no;']#['hydraulic power', 'water power']
['世代']#[['せだい']]#4#['&n;', '&adj-no;']#['generation', 'the world', 'the age']
['正']#[['せい']]#4#['&n;', '&adj-no;']#['(logical) true', 'regular']
['正しい']#[['ただしい']]#4#['&adj-i;']#['right', 'correct']
['正出']#[['せいしゅつ']]#4#['&n;', '&adj-no;']#['legitimate child']
['正方']#[['せいほう']]#4#['&n;', '&adj-no;']#['square']
['正立']#[['せいりつ']]#4#['&adj-na;']#['upright']
['生体']#[['せいたい']]#4#['&n;', '&adj-no;']#['organism', 'living body']
['生体力学']#[['せいたいりきがく']]#4#['&n;', '&adj-no;']#['biomechanics']
['生理']#[['せいり']]#4#['&n;', '&adj-no;']#['physiology']
['声楽']#[['せいがく']]#4#['&n;', '&adj-no;']#['vocal music']
['声高']#[['こわだか']]#4#['&adj-na;']#['loud (of a voice)']
['声門']#[['せいもん']]#4#['&n;', '&adj-no;']#['glottis']
['西風']#[['にしかぜ'], ['せいふう']]#4#['&n;', '&adj-no;']#['west wind']
['青']#[['あお']]#4#['&n;', '&adj-no;']#['blue', 'azure']
['青い']#[['あおい']]#4#['&adj-i;']#['blue', 'azure']
['青春']#[['せいしゅん']]#4#['&n;', '&adj-no;']#['youth', 'springtime of life', 'adolescent']
['青色']#[['あおいろ'], ['せいしょく']]#4#['&n;', '&adj-no;']#['blue']
['青白い']#[['あおじろい']]#4#['&adj-i;']#['pale', 'pallid']
['赤い']#[['あかい']]#4#['&adj-i;']#['red', 'crimson', 'scarlet', 'vermilion', 'vermillion']
['赤外']#[['せきがい']]#4#['&adj-na;', '&adj-no;']#['infrared']
['赤道']#[['せきどう']]#4#['&n;', '&adj-no;']#['equator']
['切っての']#[['きっての']]#4#['&suf;', '&adj-pn;']#['the most ... of all (in team, department, class, etc.)', 'the greatest ... in']
['切ない']#[['せつない']]#4#['&adj-i;']#['painful', 'heartrending', 'trying']
['切りがない']#[['きりがない'], ['キリがない']]#4#['&exp;', '&adj-i;']#['endless', 'boundless', 'innumerable']
['切りがいい']#[['きりがいい'], ['きりがよい'], ['キリがいい'], ['キリがよい']]#4#['&exp;', '&adj-ix;']#['good (place to leave off)', 'convenient']
['切りのない']#[['きりのない'], ['キリのない']]#4#['&exp;', '&adj-i;']#['endless', 'boundless']
['切り立った']#[['きりたった']]#4#['&adj-f;']#['steep', 'precipitous']
['切り立て']#[['きりたて']]#4#['&adj-no;']#['freshly cut']
['切れない']#[['きれない']]#4#['&suf;', '&adj-i;']#['cannot completely ... (because it is excessive)']
['先住民']#[['せんじゅうみん']]#4#['&n;', '&adj-no;']#['indigenous people', 'native people', 'aborigines']
['先住民族']#[['せんじゅうみんぞく']]#4#['&n;', '&adj-no;']#['aborigines', 'indigenes']
['先太']#[['さきぶと']]#4#['&adj-na;', '&adj-no;', '&n;']#['thicker towards the end', 'club-shaped']
['前開き']#[['まえあき'], ['まえびらき']]#4#['&n;', '&adj-no;']#['opening in front (clothing)']
['前頭']#[['まえがしら']]#4#['&n;', '&adj-no;']#['rank-and-file wrestlers in the highest division']
['前方']#[['ぜんぽう']]#4#['&n;', '&adj-no;']#['forward', 'frontward', 'ahead']
['ねずみ色']#[['ねずみいろ'], ['ネズミいろ']]#4#['&n;', '&adj-no;']#['dark gray', 'dark grey', 'slate (color, colour)']
['早口']#[['はやくち'], ['はやぐち']]#4#['&n;', '&adj-no;']#['fast-talking', 'rapid talking']
['早い']#[['はやい']]#4#['&adj-i;']#['fast', 'quick', 'hasty', 'brisk']
['遜色がない']#[['そんしょくがない']]#4#['&exp;', '&adj-i;']#['standing comparison with', 'comparing favorably with', 'by no means inferior to', 'equal to']
['多元']#[['たげん']]#4#['&n;', '&adj-no;']#['pluralism', 'diversity']
['多産']#[['たさん']]#4#['&n;', '&adj-na;']#['fecundity', 'having many children']
['多重']#[['たじゅう']]#4#['&n;', '&adj-no;', '&adj-na;']#['multiple', 'multiplex']
['太い']#[['ふとい']]#4#['&adj-i;']#['fat', 'thick']
['太った']#[['ふとった']]#4#['&adj-f;']#['plump', 'fat', 'chubby', 'stout']
['太字']#[['ふとじ']]#4#['&n;', '&adj-no;']#['boldface', 'bold-type', 'thick characters']
['体外']#[['たいがい']]#4#['&n;', '&adj-no;']#['ectogenesis', 'outside the body']
['体腔']#[['たいこう']]#4#['&n;', '&adj-no;']#['body cavity']
['待ち遠しい']#[['まちどおしい'], ['まちどうしい']]#4#['&adj-i;']#['longed-for', 'anxiously awaited']
['台所']#[['だいどころ'], ['だいどこ']]#4#['&n;', '&adj-no;']#['kitchen']
['大急ぎ']#[['おおいそぎ']]#4#['&n;', '&adj-no;', '&adj-na;']#['great hurry', 'great haste', 'rush']
['大好き']#[['だいすき']]#4#['&adj-na;']#['loveable', 'very likeable', 'like very much']
['大使']#[['たいし']]#4#['&n;', '&adj-no;']#['ambassador']
['大事']#[['だいじ']]#4#['&adj-na;']#['important', 'serious', 'crucial']
['大声']#[['おおごえ'], ['たいせい']]#4#['&n;', '&adj-no;']#['loud voice']
['大切']#[['たいせつ'], ['たいせち']]#4#['&adj-na;']#['important', 'significant', 'serious', 'crucial']
['大方']#[['おおかた']]#4#['&n;', '&adj-no;']#['large part', 'greater part', 'majority']
['題目']#[['だいもく']]#4#['&n;', '&adj-no;']#['book title', 'heading']
['短い']#[['みじかい']]#4#['&adj-i;']#['short']
['短気']#[['たんき']]#4#['&n;', '&adj-na;']#['short temper', 'quick temper', 'hot temper', 'impatience', 'irritability']
['男子用']#[['だんしよう']]#4#['&n;', '&adj-no;']#['for men']
['知らない']#[['しらない']]#4#['&adj-i;']#['unknown', 'strange']
['知事']#[['ちじ']]#4#['&n;', '&adj-no;']#['prefectural governor']
['知力']#[['ちりょく']]#4#['&n;', '&adj-no;']#['wisdom', 'intellectual power', 'intelligence', 'mental capacity', 'brains']
['地下']#[['ちか']]#4#['&n;', '&adj-no;']#['underground', 'below the ground']
['地区']#[['ちく']]#4#['&n;', '&adj-no;']#['district', 'section', 'sector']
['地上']#[['ちじょう']]#4#['&n;', '&adj-no;']#['above ground', 'on the ground', \"earth's surface\"]
