Kanji,Reading,JLPT,Type,Meaning
['打ちまける'],[['ぶちまける']],3,"['&v1;', '&vt;']","['to dump (e.g. onto the floor)', 'to empty by overturning', 'to throw out (contents)']"
['打つかる'],[['ぶつかる']],3,"['&v5r;', '&vi;']","['to strike against', 'to collide with', 'to bump into', 'to conflict']"
['打ち付ける'],[['うちつける']],3,"['&v1;', '&vt;']",['to nail']
['へばり付く'],[['へばりつく']],3,"['&v5k;', '&vi;']","['to cling to', 'to stick to', 'to lie flat (e.g. on the ground)']"
['ポタポタ落ちる'],"[['ポタポタおちる'], ['ぽたぽたおちる']]",3,"['&exp;', '&v1;']","['to fall in drops', 'to drip down', 'to trickle down']"
['向きになる'],"[['むきになる'], ['ムキになる']]",3,"['&exp;', '&v5r;']","['to become serious', 'to take something seriously (joke, teasing)', 'to become irritated or angry (usu. at something trivial)', 'to get worked up']"
['持て成し'],[['もてなし']],3,"['&n;', '&vs;']","['hospitality', 'reception', 'treatment', 'service', 'entertainment']"
['やり取り'],[['やりとり']],3,"['&n;', '&vs;']","['giving and taking', 'exchange (of letters)', 'arguing back and forth', '(conversational) exchange']"
['様にする'],[['ようにする']],3,"['&exp;', '&vs-i;']","['(following a verb) to be sure to', 'to do (something) so that ...', 'to make sure to', 'to try to']"
['様になる'],[['ようになる']],3,"['&exp;', '&v5r;']","['to reach the point that', 'to come to be that', 'to turn into']"
['列記'],[['れっき']],3,"['&n;', '&vs;']","['list', 'enumeration']"
['イオン化'],[['イオンか']],3,"['&n;', '&vs;']","['ionization', 'ionisation']"
['カスタム化'],[['カスタムか']],3,"['&n;', '&vs;']","['customization', 'customisation']"
['型録'],"[['カタログ'], ['かたろぐ']]",3,"['&n;', '&vs;']","['catalog', 'catalogue']"
['コンピュータ化'],"[['コンピュータか'], ['コンピューターか']]",3,"['&n;', '&vs;']","['computerization', 'computerisation']"
['スリム化'],[['スリムか']],3,"['&n;', '&vs;']","['slimming down', 'scaling back', 'thinning', 'streamlining', 'retrenchment']"
['パーソナル化'],[['パーソナルか']],3,"['&n;', '&vs;']","['personalization', 'personalisation', 'product stopping being a luxury item']"
['ぶち殺す'],"[['ぶちころす'], ['ブチころす']]",3,['&v5s;'],"['to kill by hitting', 'to beat to death', 'to slaughter']"
['愛する'],[['あいする']],3,"['&vs-s;', '&vt;']",['to love']
['愛でる'],[['めでる']],3,"['&v1;', '&vt;']","['to love', 'to cherish']"
['愛育'],[['あいいく']],3,"['&n;', '&vs;']",['tender nurture']
['愛飲'],[['あいいん']],3,"['&n;', '&vs;']","['drinking habitually', 'being fond of (a drink)']"
['愛楽'],[['あいぎょう']],3,"['&n;', '&vs;']","['seeking after (Buddhist teachings, etc.)', 'wanting', 'desiring']"
['愛玩'],[['あいがん']],3,"['&n;', '&vs;']","['caring for (esp. a pet or a small object)', 'cherishing', 'being fond of', 'prizing', 'treasuring']"
['愛好'],[['あいこう']],3,"['&n;', '&vs;']","['love', 'adoration']"
['愛読'],[['あいどく']],3,"['&n;', '&vs;']",['reading with pleasure']
['愛撫'],[['あいぶ']],3,"['&n;', '&vs;']","['caressing', 'loving dearly']"
['愛用'],[['あいよう']],3,"['&adj-no;', '&vs;']","['favorite', 'favourite', 'habitually used']"
['愛誦'],[['あいしょう']],3,"['&n;', '&vs;']","['loving to recite (e.g. a poem)', 'reciting with great fondness']"
['悪化'],[['あっか']],3,"['&n;', '&vs;', '&adj-no;']","['(suffer) deterioration', 'growing worse', 'aggravation', 'degeneration', 'corruption']"
['悪感化'],[['あっかんか']],3,"['&n;', '&vs;']",['evil influence']
['悪質化'],[['あくしつか']],3,"['&n;', '&vs;']",['worsening']
['悪戦'],[['あくせん']],3,"['&n;', '&vs;']","['hard fighting', 'close contest']"
['悪投'],[['あくとう']],3,"['&n;', '&vs;']",['wild pitch']
['へし折る'],[['へしおる']],3,"['&v5r;', '&vt;']","['to smash', 'to break']"
['安心立命'],"[['あんしんりつめい'], ['あんじんりゅうめい'], ['あんじんりゅうみょう'], ['あんじんりつめい']]",3,"['&n;', '&vs;']","['spiritual peace and enlightenment', 'keeping an unperturbed mind through faith']"
['安全運転'],[['あんぜんうんてん']],3,"['&n;', '&vs;']",['safe driving']
['安息'],[['あんそく']],3,"['&n;', '&vs;']","['rest', 'repose']"
['安打'],[['あんだ']],3,"['&n;', '&vs;']",['safe hit']
['安置'],[['あんち']],3,"['&n;', '&vs;']","['enshrinement', 'installation (of an image)']"
['安定'],[['あんてい']],3,"['&n;', '&vs;', '&adj-na;', '&adj-no;']","['stability', 'steadiness', 'equilibrium']"
['安定化'],[['あんていか']],3,"['&n;', '&vs;']","['stabilization', 'stabilisation']"
['暗号化'],[['あんごうか']],3,"['&n;', '&vs;']","['encryption', 'encipherment']"
['暗殺'],[['あんさつ']],3,"['&n;', '&vs;']",['assassination']
['暗算'],[['あんざん']],3,"['&n;', '&vs;']",['mental arithmetic']
['案じる'],[['あんじる']],3,"['&v1;', '&vt;']","['to be anxious or concerned about', 'to ponder (anxiously)', 'to fear']"
['案内'],"[['あんない'], ['あない']]",3,"['&n;', '&vs;']","['guidance', 'leading (the way)', 'showing around']"
['位取り'],[['くらいどり']],3,"['&n;', '&vs;']","['grade', 'class', 'quality', 'unit', 'digit', 'positioning of decimal point']"
['位取る'],[['くらいどる']],3,['&v5r;'],['to scale']
['位置合わせ'],[['いちあわせ']],3,"['&n;', '&vs;']","['alignment', 'justification']"
['位置揃え'],[['いちそろえ']],3,"['&n;', '&vs;']",['justification']
['囲う'],[['かこう']],3,"['&v5u;', '&vt;']","['to enclose', 'to surround', 'to encircle', 'to fence', 'to wall in']"
['囲む'],"[['かこむ'], ['かごむ']]",3,"['&v5m;', '&vt;']","['to surround', 'to encircle', 'to enclose', 'to fence', 'to wall in']"
['囲繞'],"[['いじょう'], ['いにょう']]",3,"['&n;', '&vs;']","['surrounding', 'enclosure']"
['委ねる'],[['ゆだねる']],3,"['&v1;', '&vt;']","['to entrust (a matter) to', 'to leave to']"
['委付'],[['いふ']],3,"['&n;', '&vs;']","['abandonment (rights, property)']"
['意気投合'],[['いきとうごう']],3,"['&n;', '&vs;']","['hit it off with (a person)', 'find a kindred spirit in (a person)', 'sympathy', 'mutual understanding']"
['し残す'],[['しのこす']],3,"['&v5s;', '&vt;']",['to leave unfinished']
['し続ける'],[['しつづける']],3,['&v1;'],"['to continue to do', 'to persist in doing']"
['育ち行く'],[['そだちゆく']],3,['&v5k-s;'],['to grow up']
['育つ'],[['そだつ']],3,"['&v5t;', '&vi;']","['to be raised (e.g. child)', 'to be brought up', 'to grow (up)']"
['育てる'],[['そだてる']],3,"['&v1;', '&vt;']","['to raise', 'to rear', 'to bring up']"
['育て上げる'],[['そだてあげる']],3,"['&v1;', '&vt;']","['to raise (to maturity)', 'to bring up', 'to rear', 'to train', 'to educate']"
['育児'],[['いくじ']],3,"['&n;', '&vs;']","['childcare', 'child-rearing', 'nursing', 'upbringing']"
['育種'],[['いくしゅ']],3,"['&n;', '&vs;']",['breeding (of plants or animals)']
['一決'],[['いっけつ']],3,"['&n;', '&vs;']","['agreed', 'settled']"
['一元化'],[['いちげんか']],3,"['&n;', '&vs;']","['unification', 'centralization', 'centralisation']"
['一宿'],[['いっしゅく']],3,"['&n;', '&vs;']",['staying one night']
['一笑'],[['いっしょう']],3,"['&n;', '&vs;']","['laugh', 'smile']"
['一笑に付す'],[['いっしょうにふす']],3,"['&exp;', '&v5s;']","['to laugh (something) off', 'to dismiss with a laugh', 'to pooh-pooh']"
['一戦'],[['いっせん']],3,"['&n;', '&vs;']","['battle', 'game', 'bout']"
['一打ち'],[['ひとうち']],3,"['&n;', '&vs;']","['stroke', 'blow']"
['一体化'],[['いったいか']],3,"['&n;', '&vs;']","['unification', 'integration']"
['一念発起'],[['いちねんほっき']],3,"['&n;', '&vs;']","['being resolved to (do something)', 'having a wholehearted intention']"
['一敗'],[['いっぱい']],3,"['&n;', '&vs;']",['one defeat']
['一倍'],[['いちばい']],3,"['&n;', '&vs;']","['one share', 'one amount']"
['一番乗り'],[['いちばんのり']],3,"['&n;', '&vs;']","['leader of a charge', 'first to arrive']"
['一変'],[['いっぺん']],3,"['&n;', '&vs;']","['complete change', 'about-face']"
['一礼'],[['いちれい']],3,"['&n;', '&vs;']","['bow (salute, greeting)']"
['一列'],[['いちれつ']],3,"['&n;', '&vs;']","['(a) row', 'line']"
['溢流'],[['いつりゅう']],3,"['&n;', '&vs;']","['overflow', 'spill']"
['印行'],[['いんこう']],3,"['&n;', '&vs;']","['printing', 'publishing']"
['印刷'],[['いんさつ']],3,"['&n;', '&vs;']",['printing']
['印字'],[['いんじ']],3,"['&n;', '&vs;']","['printing', 'typing']"
['印象'],[['いんしょう']],3,"['&n;', '&vs;']",['impression']
['引き取る'],[['ひきとる']],3,"['&v5r;', '&vt;']","[""to take into one's possession"", 'to receive', 'to accept', 'to collect', 'to claim']"
['引き返す'],[['ひきかえす']],3,"['&v5s;', '&vt;']","['to turn back', 'to go back', 'to come back', 'to return', ""to retrace one's steps""]"
['引き放つ'],[['ひきはなつ']],3,"['&v5t;', '&vt;']",['to pull apart']
['引き連れる'],[['ひきつれる']],3,"['&v1;', '&vt;']","['to take someone along', 'to be accompanied (by)']"
['ひっくり返る'],"[['ひっくりかえる'], ['ひっくりがえる']]",3,"['&v5r;', '&vi;']","['to be overturned', 'to be reversed', 'to turn over', 'to capsize']"
['引照'],[['いんしょう']],3,"['&n;', '&vs;']","['reference', 'quotation']"
['引例'],[['いんれい']],3,"['&n;', '&vs;']","['quotation', 'referring to precedent']"
['飲酒'],[['いんしゅ']],3,"['&n;', '&vs;']",['drinking alcohol']
['右折'],[['うせつ']],3,"['&n;', '&vs;']","['turning to the right', 'right turn']"
['羽ばたく'],[['はばたく']],3,"['&v5k;', '&vi;']",['to flap (wings)']
['羽化'],[['うか']],3,"['&n;', '&vs;']","['emergence (of insects)', 'eclosion', 'growing wings']"
['迂曲'],[['うきょく']],3,"['&n;', '&vs;']","['meandering', 'winding']"
['雨宿り'],[['あまやどり']],3,"['&n;', '&vs;']",['taking shelter from rain']
['嘘で固める'],[['うそでかためる']],3,"['&exp;', '&v1;']",['to fabricate a web of lies']
['鬱積'],[['うっせき']],3,"['&n;', '&vs;']","['accumulation (e.g. of emotions, grievances, etc.)', 'buildup', 'suppression (e.g. of anger)']"
['運航'],[['うんこう']],3,"['&n;', '&vs;']","['operating (e.g. ships, aircraft)']"
['運算'],[['うんざん']],3,"['&n;', '&vs;']","['mathematical operation', 'calculation']"
['運転停止'],[['うんてんていし']],3,"['&n;', '&vs;']",['suspension of operations']
['映画化'],[['えいがか']],3,"['&n;', '&vs;']","['making (book, etc.) into film', 'making a screen version', 'adapting for the screen']"
['曳航'],[['えいこう']],3,"['&n;', '&vs;']",['towing (a ship)']
['栄える'],[['さかえる']],3,"['&v1;', '&vi;']","['to prosper', 'to flourish']"
['栄進'],[['えいしん']],3,"['&n;', '&vs;']","['promotion', 'advancement']"
['栄達'],[['えいたつ']],3,"['&n;', '&vs;']","['fame', 'distinction', 'rise', 'advancement']"
['栄転'],[['えいてん']],3,"['&n;', '&vs;']",['promotion']
['泳ぐ'],[['およぐ']],3,"['&v5g;', '&vi;']",['to swim']
['遠泳'],[['えんえい']],3,"['&n;', '&vs;']",['long-distance swimming']
['遠望'],[['えんぼう']],3,"['&n;', '&vs;']","['vista', 'distant view']"
['塩焼き'],[['しおやき']],3,"['&n;', '&vs;']","['grilling (fish) with salt', 'broiling with salt']"
['横たえる'],[['よこたえる']],3,"['&v1;', '&vt;']",['to lay down']
['横たわる'],[['よこたわる']],3,"['&v5r;', '&vi;']","['to lie down', 'to stretch out']"
['横溢'],[['おういつ']],3,"['&n;', '&vs;']","['overflowing', 'inundation']"
['横臥'],[['おうが']],3,"['&n;', '&vs;', '&adj-no;']","[""lying on one's side""]"
['横議'],[['おうぎ']],3,"['&n;', '&vs;']",['arguing persistently']
['横向く'],[['よこむく']],3,['&v5k;'],['to turn sideways']
['横行'],"[['おうこう'], ['おうぎょう']]",3,"['&n;', '&vs;', '&adj-no;']","['walking sideways', 'staggering', 'striding']"
['横死'],[['おうし']],3,"['&n;', '&vs;']","['violent (tragic or accidental) death', ""dog's death""]"
['横取り'],[['よこどり']],3,"['&n;', '&vs;']","['snatching', 'stealing', 'seizure', 'usurpation']"
['横切る'],[['よこぎる']],3,"['&v5r;', '&vt;']","['to cross (e.g. road)', 'to traverse']"
['横転'],[['おうてん']],3,"['&n;', '&vs;']","['toppling sideways', 'turning sideways', 'falling over sideways']"
['横付け'],[['よこづけ']],3,"['&n;', '&vs;']","['bringing alongside (ship, vehicle, etc.)', 'coming alongside', 'mooring']"
['横目'],[['よこめ']],3,"['&n;', '&vs;']",['sidelong glance']
['横流し'],[['よこながし']],3,"['&n;', '&vs;']","['diversion into illegal channels', 'putting on the black market', 'selling through illegal channels']"
['王化'],[['おうか']],3,"['&n;', '&vs;']","['imperial influence', 'assimilation of new territory']"
['王手'],[['おうて']],3,"['&n;', '&vs;']",['check']
['黄ばむ'],[['きばむ']],3,"['&v5m;', '&vi;']","['to turn yellow', 'to become tinged with yellow', 'to yellow (with age)']"
['温む'],[['ぬるむ']],3,"['&v5m;', '&vi;']","['to become lukewarm', 'to become tepid']"
['温浴'],[['おんよく']],3,"['&n;', '&vs;']","['hot bath', 'warm bath']"
['下血'],[['げけつ']],3,"['&n;', '&vs;']",['bloody bowel discharge']
['下向'],[['げこう']],3,"['&n;', '&vs;']",['leaving the capital']
['下取り'],[['したどり']],3,"['&n;', '&vs;']","['trade in', 'part exchange']"
['下宿'],[['げしゅく']],3,"['&n;', '&vs;']","['boarding', 'lodging', 'board and lodging', 'room and board']"
['下船'],[['げせん']],3,"['&n;', '&vs;']","['disembarkation', 'getting off a ship', 'going ashore']"
['下相談'],[['したそうだん']],3,"['&n;', '&vs;']","['preliminary consultation', 'arrangements']"
['下達'],"[['かたつ'], ['げたつ']]",3,"['&n;', '&vs;']",['commanding a subordinate']
['下調べ'],[['したしらべ']],3,"['&n;', '&vs;']","['preliminary investigation', 'preparation']"
['下熱'],[['げねつ']],3,"['&n;', '&vs;']",['being lowered (of a fever)']
['下馬'],[['げば']],3,"['&n;', '&vs;']",['dismounting']
['下番'],[['かばん']],3,"['&n;', '&vs;']",['going off duty']
['下付'],[['かふ']],3,"['&n;', '&vs;']","['grant', 'issue']"
['下命'],[['かめい']],3,"['&n;', '&vs;']","['order', 'command']"
['下落'],[['げらく']],3,"['&n;', '&vs;']","['depreciation', 'decline', 'fall', 'slump']"
['化けの皮を剥ぐ'],[['ばけのかわをはぐ']],3,"['&exp;', '&v5g;']","[""to unmask (someone's true nature)""]"
['化ける'],[['ばける']],3,"['&v1;', '&vi;']","['to take the form of (esp. in ref. to a spirit, fox, raccoon dog, etc.)', 'to assume the shape of', 'to turn oneself into', 'to transform oneself into']"
['化育'],[['かいく']],3,"['&n;', '&vs;']","['creation of the world', 'evolution']"
['化学変化'],[['かがくへんか']],3,"['&n;', '&vs;']",['chemical change']
['化合'],[['かごう']],3,"['&n;', '&vs;']",['chemical combination']
['化身'],[['けしん']],3,"['&n;', '&vs;', '&adj-no;']","['incarnation', 'impersonation', 'personification', 'avatar']"
['化成'],[['かせい']],3,"['&n;', '&vs;']","['change', 'transformation']"
['化生'],[['かせい']],3,"['&n;', '&vs;', '&adj-no;']","['growth', 'metamorphosis']"
['化生'],[['けしょう']],3,"['&n;', '&vs;']",['goblin']
['化膿'],[['かのう']],3,"['&n;', '&vs;', '&adj-no;']","['suppuration', 'festering', 'coming to head']"
['加える'],[['くわえる']],3,"['&v1;', '&vt;']","['to add', 'to add up', 'to sum up', 'to append', 'to annex']"
['加わる'],[['くわわる']],3,"['&v5r;', '&vi;']","['to be added to', 'to be appended']"
['加温'],[['かおん']],3,"['&n;', '&vs;']","['heating', 'heat']"
['加害'],[['かがい']],3,"['&n;', '&vs;']","['assault', 'violence', 'damaging (someone)']"
['加給'],[['かきゅう']],3,"['&n;', '&vs;']",['raising salaries']
['加工'],[['かこう']],3,"['&n;', '&vs;']","['manufacturing', 'processing', 'treatment', 'machining']"
['加持'],[['かじ']],3,"['&n;', '&vs;']","['faith-healing', 'incantation']"
['加水'],[['かすい']],3,"['&n;', '&vs;']","['adding water', 'dilution with water']"
['加速'],[['かそく']],3,"['&n;', '&vs;']","['acceleration', 'speeding up']"
['加入'],[['かにゅう']],3,"['&n;', '&vs;']","['joining (a club, organization, etc.)', 'becoming a member', 'entry', 'admission', 'subscription', 'affiliation', 'signing (e.g. a treaty)', 'taking out (insurance)']"
['加熱'],[['かねつ']],3,"['&n;', '&vs;']","['heating', 'application of heat']"
['加配'],[['かはい']],3,"['&n;', '&vs;']",['additional ration']
['加筆'],[['かひつ']],3,"['&n;', '&vs;']","['improvement (to a piece of writing or painting)', 'revision', 'correction', 'touching up']"
['加味'],[['かみ']],3,"['&n;', '&vs;']","['seasoning', 'flavoring', 'flavouring']"
['夏負け'],[['なつまけ']],3,"['&n;', '&vs;']",['suffering from summer heat']
['家鳴り'],[['やなり']],3,"['&n;', '&vs;']",['rattling of a house']
['科する'],[['かする']],3,['&vs-s;'],"['to inflict', 'to impose (a fine, etc.)']"
['果せる'],[['おおせる']],3,"['&v1;', '&vi;']","['to succeed in doing', 'to manage to do', 'to finish doing']"
['果たす'],[['はたす']],3,"['&v5s;', '&vt;']","['to accomplish', 'to achieve', 'to carry out', 'to fulfill', 'to fulfil', 'to realize', 'to execute', 'to perform', 'to do']"
['果てる'],[['はてる']],3,"['&v1;', '&vi;']","['to end', 'to be finished', 'to be exhausted']"
['火照る'],[['ほてる']],3,"['&v5r;', '&vi;']","['to feel hot', 'to flush', 'to burn']"
['火遊び'],[['ひあそび']],3,"['&n;', '&vs;']",['playing with fire']
['課す'],[['かす']],3,"['&v5s;', '&vt;']","['to impose (a tax, fine, etc.)', 'to levy', 'to assign (a task, duty, etc.)', 'to give', 'to set']"
['課する'],[['かする']],3,"['&vs-s;', '&vt;']","['to impose (a tax, fine, etc.)', 'to levy', 'to assign (a task, duty, etc.)', 'to give', 'to set']"
['課金'],[['かきん']],3,"['&n;', '&vs;']","['charges', 'billing']"
['画一化'],[['かくいつか']],3,"['&n;', '&vs;']","['standardization', 'standardisation']"
['画定'],[['かくてい']],3,"['&n;', '&vs;']",['demarcation']
['会う約束'],[['あうやくそく']],3,"['&n;', '&vs;']","['appointment', 'rendezvous', 'date']"
['会議'],[['かいぎ']],3,"['&n;', '&vs;']","['meeting', 'conference', 'session', 'assembly', 'council', 'convention', 'congress']"
['会商'],[['かいしょう']],3,"['&n;', '&vs;']","['negotiation', 'talks']"
['会戦'],[['かいせん']],3,"['&n;', '&vs;']","['engagement', 'battle']"
['会談'],[['かいだん']],3,"['&n;', '&vs;']","['conversation', 'conference (usu. between important people)', 'discussion', 'interview']"
['会得'],[['えとく']],3,"['&n;', '&vs;']","['understanding', 'comprehension', 'grasp', 'perception', 'appreciation', 'mastery (of an art or skill)']"
['回航'],[['かいこう']],3,"['&n;', '&vs;']","['navigation', 'cruise']"
['回折'],[['かいせつ']],3,"['&n;', '&vs;']",['diffraction']
['回想'],[['かいそう']],3,"['&n;', '&vs;']","['recollection', 'retrospection', 'reflection', 'reminiscence']"
['回付'],[['かいふ']],3,"['&n;', '&vs;']","['transmitting', 'referring to', 'passing on']"
['回遊'],[['かいゆう']],3,"['&n;', '&vs;']","['excursion', 'round trip']"
['回礼'],[['かいれい']],3,"['&n;', '&vs;']",['going from door to door greeting relatives and friends']
['改まる'],[['あらたまる']],3,"['&v5r;', '&vi;']","['to be renewed', 'to change']"
['改める'],[['あらためる']],3,"['&v1;', '&vt;']","['to change', 'to alter', 'to revise', 'to replace']"
['改悪'],[['かいあく']],3,"['&n;', '&vs;']","['deterioration', 'changing for the worse']"
['改印'],[['かいいん']],3,"['&n;', '&vs;']","[""changing one's registered seal""]"
['改行'],[['かいぎょう']],3,"['&n;', '&vs;']","['new line', 'new paragraph']"
['改作'],[['かいさく']],3,"['&n;', '&vs;']",['adaptation (of story)']
['改札'],[['かいさつ']],3,"['&n;', '&vs;']",['examination of tickets']
['改心'],[['かいしん']],3,"['&n;', '&vs;']","['conversion', 'reform', ""correcting someone's conduct""]"
['改新'],[['かいしん']],3,"['&n;', '&vs;']",['reformation']
['改正'],[['かいせい']],3,"['&n;', '&vs;', '&adj-no;']","['revision', 'amendment', 'alteration']"
['改選'],[['かいせん']],3,"['&n;', '&vs;']",['re-election']
['改組'],[['かいそ']],3,"['&n;', '&vs;']","['reorganization', 'reorganisation', 'reshuffle']"
['改題'],[['かいだい']],3,"['&n;', '&vs;']","['change of title', 'retitling', 'changed title']"
['改定'],"[['かいてい'], ['かいじょう']]",3,"['&n;', '&vs;']","['revision (of a rule, price, etc.)', 'alteration', 'change']"
['改変'],[['かいへん']],3,"['&n;', '&vs;']","['change', 'alteration', 'modification']"
['改名'],"[['かいめい'], ['かいみょう']]",3,"['&n;', '&vs;']",['name change']
['改良'],[['かいりょう']],3,"['&n;', '&vs;']","['improvement', 'reform']"
['改ざん'],[['かいざん']],3,"['&n;', '&vs;']","['alteration', 'falsification', 'faking']"
['開き直る'],[['ひらきなおる']],3,"['&v5r;', '&vi;']","['to become defiant', 'to fight back', 'to turn upon', 'to take the offensive']"
['開け放す'],[['あけはなす']],3,"['&v5s;', '&vt;']","['to open wide (doors, windows, etc.)', 'to fling open']"
['開け放つ'],[['あけはなつ']],3,"['&v5t;', '&vt;']","['to throw open', 'to leave open']"
['開園'],[['かいえん']],3,"['&n;', '&vs;']","['opening of a park (theme park, botanical garden etc.)']"
['開化'],[['かいか']],3,"['&n;', '&vs;']","['civilization', 'civilisation', 'enlightenment']"
['開局'],[['かいきょく']],3,"['&n;', '&vs;']","['opening (of a broadcasting station, post office, bureau, etc.)', 'establishment']"
['開港'],[['かいこう']],3,"['&n;', '&vs;']","['opening a port (seaport, airport, etc.)', 'starting operations at a port']"
['開戦'],[['かいせん']],3,"['&n;', '&vs;']","['outbreak of war', 'starting a war']"
['開平'],[['かいへい']],3,"['&n;', '&vs;']",['extraction of square root']
['開放'],[['かいほう']],3,"['&n;', '&vs;']","['opening (a door, window, etc.)', 'leaving open']"
['外遊'],[['がいゆう']],3,"['&n;', '&vs;']",['foreign travel']
['覚える'],[['おぼえる']],3,"['&v1;', '&vt;']","['to memorize', 'to memorise', 'to commit to memory', 'to learn by heart', 'to bear in mind', 'to remember']"
['覚ます'],[['さます']],3,"['&v5s;', '&vt;']","['to awaken', 'to arouse from sleep']"
['覚める'],[['さめる']],3,"['&v1;', '&vi;']","['to wake', 'to wake up']"
['角立てる'],[['かどだてる']],3,"['&v1;', '&vt;']","['to be sharp', 'to be pointed']"
['楽観'],[['らっかん']],3,"['&n;', '&vs;']","['optimism', 'taking an optimistic view']"
['楽勝'],[['らくしょう']],3,"['&n;', '&vs;']","['easy victory', 'walkover']"
['活字体で書く'],[['かつじたいでかく']],3,"['&exp;', '&v5k;']",['to print (on a press)']
['活動'],[['かつどう']],3,"['&n;', '&vs;']","['activity (of a person, organization, animal, volcano, etc.)', 'action']"
['活発化'],[['かっぱつか']],3,"['&n;', '&vs;']","['increase in activity', 'activation']"
['活用'],[['かつよう']],3,"['&n;', '&vs;']","['practical use', 'application']"
['噛み殺す'],[['かみころす']],3,"['&v5s;', '&vt;']","['to stifle a smile, yawn, etc.']"
['噛み付く'],[['かみつく']],3,"['&v5k;', '&vi;']","['to bite (at)', 'to snap at']"
['完結'],[['かんけつ']],3,"['&n;', '&vs;']","['conclusion', 'completion']"
['完成'],[['かんせい']],3,"['&n;', '&vs;']","['complete', 'completion']"
['完走'],[['かんそう']],3,"['&n;', '&vs;']","['finishing (a race)', 'running the whole distance', 'reaching the goal', 'staying the course']"
['感じる'],[['かんじる']],3,['&v1;'],"['to feel', 'to sense', 'to experience']"
['感じ取る'],[['かんじとる']],3,"['&v5r;', '&vt;']","['to perceive', 'to sense', 'to take in', 'to grasp', 'to feel']"
['感化'],[['かんか']],3,"['&n;', '&vs;']","['influence (on someone)', 'inspiration']"
['感覚'],[['かんかく']],3,"['&n;', '&vs;']","['sense', 'sensation', 'feeling', 'intuition']"
['感泣'],[['かんきゅう']],3,"['&n;', '&vs;']",['being moved to tears']
['感光'],[['かんこう']],3,"['&n;', '&vs;', '&adj-no;']","['exposure', 'sensitization', 'sensitisation']"
['感心'],[['かんしん']],3,"['&n;', '&vs;']","['admiration', 'being impressed']"
['感知'],[['かんち']],3,"['&n;', '&vs;']","['perception', 'sensing', 'noticing']"
['感電'],[['かんでん']],3,"['&n;', '&vs;']",['receiving an electric shock']
['感動'],[['かんどう']],3,"['&n;', '&vs;']","['being deeply moved emotionally', 'excitement', 'passion', 'inspiration', 'deep emotion', 'strong impression']"
['感づく'],[['かんづく']],3,"['&v5k;', '&vi;']","['to sense', 'to suspect', 'to get an inkling (of something)', 'to get wind of', 'to smell (e.g. danger)', 'to become aware of (e.g. a plot)']"
['感服'],[['かんぷく']],3,"['&n;', '&vs;']","['admiration', 'being impressed (by)']"
